词,出现次数,文档频次,文档概率
万里,527,516,0.036423
千里,470,461,0.032540
今日,450,439,0.030988
春风,419,409,0.028870
白云,361,353,0.024917
人间,343,330,0.023294
惆怅,290,288,0.020329
秋风,289,288,0.020329
故人,282,274,0.019341
风吹,276,272,0.019200
青山,275,269,0.018988
今朝,271,267,0.018847
相思,263,252,0.017788
少年,262,246,0.017364
长安,260,250,0.017647
悠悠,258,254,0.017929
明月,256,241,0.017011
十年,249,245,0.017294
寂寞,243,242,0.017082
相逢,237,234,0.016517
白日,236,230,0.016235
主人,236,212,0.014964
平生,231,226,0.015953
白发,218,215,0.015176
行人,208,197,0.013906
可怜,202,201,0.014188
月明,198,198,0.013976
流水,198,194,0.013694
别离,197,192,0.013553
洛阳,191,184,0.012988
年年,188,187,0.013200
相见,186,181,0.012776
殷勤,185,183,0.012917
千万,184,181,0.012776
天地,178,160,0.011294
日月,177,152,0.010729
日暮,175,175,0.012353
江上,174,172,0.012141
江南,170,156,0.011012
白头,169,163,0.011506
山中,165,160,0.011294
天子,163,146,0.010306
归来,160,158,0.011153
夕阳,159,158,0.011153
君子,155,147,0.010376
黄金,152,150,0.010588
回首,152,151,0.010659
落日,152,152,0.010729
天涯,150,149,0.010517
萧条,149,148,0.010447
门前,148,146,0.010306
车马,147,146,0.010306
天下,147,138,0.009741
东西,147,144,0.010164
杨柳,146,134,0.009459
参差,146,145,0.010235
花落,144,141,0.009953
芳草,142,140,0.009882
春草,141,141,0.009953
南山,140,138,0.009741
清风,140,137,0.009670
萧萧,139,139,0.009812
洞庭,139,134,0.009459
东风,136,130,0.009176
千年,135,134,0.009459
归去,134,129,0.009106
浮云,133,120,0.008470
天上,133,128,0.009035
花开,133,129,0.009106
风雨,132,129,0.009106
青云,131,120,0.008470
终日,130,129,0.009106
烟霞,124,120,0.008470
草木,123,121,0.008541
芙蓉,123,118,0.008329
当时,122,120,0.008470
无限,122,121,0.008541
桃花,121,115,0.008117
风起,121,121,0.008541
颜色,120,120,0.008470
昨日,119,117,0.008259
使君,119,108,0.007623
人生,117,112,0.007906
将军,115,105,0.007412
白首,115,113,0.007976
文章,115,109,0.007694
桃李,115,115,0.008117
山水,113,113,0.007976
早晚,111,111,0.007835
江水,110,106,0.007482
风景,109,107,0.007553
美人,109,93,0.006565
世间,109,103,0.007270
先生,109,84,0.005929
孤舟,108,108,0.007623
茫茫,107,106,0.007482
人心,105,97,0.006847
空山,105,105,0.007412
风流,105,104,0.007341
林下,104,104,0.007341
明朝,104,104,0.007341
山川,104,101,0.007129
年少,103,97,0.006847
风尘,103,103,0.007270
百年,103,100,0.007059
山下,103,103,0.007270
春深,102,44,0.003106
至今,101,97,0.006847
旌旗,101,101,0.007129
今年,101,100,0.007059
故乡,100,95,0.006706
裴回,100,100,0.007059
池上,99,97,0.006847
沧海,98,96,0.006776
时节,97,96,0.006776
春来,97,97,0.006847
相忆,97,96,0.006776
蹉跎,97,97,0.006847
新诗,97,97,0.006847
逍遥,97,97,0.006847
寂寥,96,96,0.006776
春色,95,91,0.006423
临水,95,95,0.006706
杯酒,95,94,0.006635
太守,94,86,0.006070
知音,93,89,0.006282
离别,93,89,0.006282
看花,93,92,0.006494
衣裳,93,93,0.006565
神仙,93,80,0.005647
明日,92,92,0.006494
憔悴,91,90,0.006353
才子,91,91,0.006423
夜深,91,91,0.006423
故园,91,89,0.006282
无穷,90,89,0.006282
秋草,90,89,0.006282
月中,90,90,0.006353
分明,90,87,0.006141
凉风,90,90,0.006353
曲江,90,87,0.006141
不归,88,84,0.005929
秋水,88,87,0.006141
风光,88,87,0.006141
携手,88,88,0.006212
人家,87,86,0.006070
富贵,87,78,0.005506
草色,87,87,0.006141
眼前,87,86,0.006070
管弦,87,87,0.006141
君王,86,70,0.004941
经过,86,86,0.006070
相随,86,86,0.006070
始知,86,84,0.005929
往来,85,84,0.005929
笙歌,85,84,0.005929
别后,85,82,0.005788
去年,84,81,0.005718
古人,84,79,0.005576
落花,84,84,0.005929
碧云,83,82,0.005788
汉家,82,80,0.005647
尘埃,82,81,0.005718
白露,81,81,0.005718
千载,81,81,0.005718
花发,81,81,0.005718
旧游,81,77,0.005435
潇湘,81,78,0.005506
归路,81,81,0.005718
道路,80,80,0.005647
老人,80,75,0.005294
今夜,79,79,0.005576
南北,79,77,0.005435
高楼,79,79,0.005576
伤心,78,78,0.005506
须臾,78,78,0.005506
迢递,78,78,0.005506
昨夜,78,78,0.005506
云雨,78,78,0.005506
沧洲,78,76,0.005365
文字,78,74,0.005223
楼上,77,75,0.005294
凤凰,77,72,0.005082
花枝,76,75,0.005294
朝朝,76,74,0.005223
闻道,76,76,0.005365
徘徊,76,75,0.005294
诸侯,76,76,0.005365
秋月,75,69,0.004870
落叶,75,75,0.005294
零落,75,73,0.005153
春日,74,72,0.005082
朱门,74,74,0.005223
万事,74,74,0.005223
水流,74,70,0.004941
今来,74,74,0.005223
关山,73,66,0.004659
海上,73,72,0.005082
蓬莱,73,61,0.004306
雨露,72,70,0.004941
梦中,72,71,0.005012
愁人,72,72,0.005082
相识,72,69,0.004870
世人,72,70,0.004941
城中,72,72,0.005082
烟波,72,71,0.005012
东南,72,71,0.005012
是非,72,71,0.005012
故山,72,72,0.005082
江城,71,70,0.004941
芳菲,71,71,0.005012
寒食,71,69,0.004870
白雪,71,68,0.004800
月下,71,70,0.004941
焚香,71,71,0.005012
怅望,71,71,0.005012
北风,70,68,0.004800
石上,70,70,0.004941
佳期,70,69,0.004870
题诗,70,70,0.004941
江海,69,69,0.004870
风月,69,69,0.004870
经年,69,69,0.004870
归心,69,69,0.004870
江湖,69,64,0.004518
扁舟,69,67,0.004729
岁月,69,68,0.004800
山色,69,69,0.004870
黄河,68,66,0.004659
次第,68,67,0.004729
深处,68,68,0.004800
谢公,68,68,0.004800
淹留,68,68,0.004800
劝君,67,59,0.004165
白马,67,67,0.004729
东方,67,66,0.004659
鸳鸯,67,64,0.004518
风波,67,65,0.004588
乾坤,66,49,0.003459
月照,66,65,0.004588
夜月,66,66,0.004659
向人,66,64,0.004518
白玉,66,64,0.004518
相亲,66,66,0.004659
造化,66,62,0.004376
自然,66,60,0.004235
日出,65,64,0.004518
深山,65,63,0.004447
行路,65,53,0.003741
等闲,65,61,0.004306
东山,65,63,0.004447
湘水,65,61,0.004306
东林,65,65,0.004588
南宫,65,64,0.004518
暮雨,64,64,0.004518
马蹄,64,63,0.004447
东流,64,64,0.004518
走马,64,64,0.004518
同心,64,59,0.004165
秋色,64,64,0.004518
回头,64,64,0.004518
丞相,64,62,0.004376
长沙,64,63,0.004447
自知,64,63,0.004447
相望,64,64,0.004518
潺湲,64,63,0.004447
秋来,63,63,0.004447
青春,63,63,0.004447
子孙,63,60,0.004235
兄弟,63,62,0.004376
饮酒,63,55,0.003882
姓名,63,59,0.004165
老去,63,63,0.004447
遥知,63,63,0.004447
送客,63,63,0.004447
从容,63,63,0.004447
春光,62,57,0.004023
登高,62,61,0.004306
生死,62,59,0.004165
百尺,62,62,0.004376
光辉,62,62,0.004376
丈夫,62,60,0.004235
相对,62,62,0.004376
远山,62,62,0.004376
纵横,62,62,0.004376
怜君,62,62,0.004376
竹林,62,62,0.004376
远近,61,60,0.004235
凄凉,61,61,0.004306
九重,61,60,0.004235
知己,61,61,0.004306
花时,61,60,0.004235
日夕,61,60,0.004235
松柏,61,59,0.004165
吟诗,61,59,0.004165
寻常,61,59,0.004165
生涯,60,60,0.004235
独立,60,59,0.004165
夜长,60,59,0.004165
无情,60,57,0.004023
草堂,60,59,0.004165
来往,60,59,0.004165
古木,60,60,0.004235
对酒,60,60,0.004235
闭门,60,59,0.004165
独自,59,53,0.003741
断肠,59,58,0.004094
月夜,59,59,0.004165
孤城,59,59,0.004165
阳城,59,57,0.004023
玲珑,59,57,0.004023
家贫,59,59,0.004165
相看,59,59,0.004165
湖上,59,59,0.004165
心期,59,59,0.004165
青天,58,58,0.004094
人皆,58,57,0.004023
半夜,58,58,0.004094
婵娟,58,55,0.003882
明年,58,57,0.004023
黄昏,58,58,0.004094
相送,58,58,0.004094
摇落,58,57,0.004023
交亲,58,58,0.004094
微风,58,58,0.004094
黄叶,57,57,0.004023
蛾眉,57,57,0.004023
君心,57,55,0.003882
百花,57,56,0.003953
歌舞,57,57,0.004023
夜来,57,56,0.003953
读书,57,57,0.004023
风烟,57,57,0.004023
孤云,57,56,0.003953
游人,57,56,0.003953
欢娱,56,56,0.003953
猿声,56,56,0.003953
春水,56,54,0.003812
消息,56,52,0.003671
陌上,56,54,0.003812
花满,56,56,0.003953
花下,56,56,0.003953
月色,56,56,0.003953
佳人,55,52,0.003671
寥落,55,55,0.003882
连天,55,55,0.003882
忆昔,55,55,0.003882
独坐,55,55,0.003882
花前,55,52,0.003671
骑马,55,55,0.003882
楚水,55,52,0.003671
世上,55,52,0.003671
楚客,55,55,0.003882
青苔,55,54,0.003812
日夜,55,55,0.003882
多病,55,54,0.003812
世事,55,55,0.003882
思归,54,50,0.003529
宛转,54,50,0.003529
他人,54,52,0.003671
百里,54,54,0.003812
有情,54,54,0.003812
翠微,54,54,0.003812
心事,54,54,0.003812
所思,53,53,0.003741
江边,53,53,0.003741
天寒,53,53,0.003741
万物,53,51,0.003600
独行,53,52,0.003671
山僧,53,53,0.003741
自古,52,52,0.003671
红尘,52,49,0.003459
山河,52,51,0.003600
可惜,52,52,0.003671
功名,52,50,0.003529
杏花,52,52,0.003671
莲花,52,52,0.003671
寒山,52,51,0.003600
依旧,52,52,0.003671
头白,52,52,0.003671
山路,51,49,0.003459
青松,51,48,0.003388
城下,51,50,0.003529
登楼,51,49,0.003459
随风,51,50,0.003529
古今,51,51,0.003600
西风,51,50,0.003529
山头,51,51,0.003600
江山,51,50,0.003529
他日,51,51,0.003600
十里,50,50,0.003529
向东,50,50,0.003529
阳春,50,50,0.003529
满眼,50,50,0.003529
人稀,50,50,0.003529
扬州,50,48,0.003388
青草,50,50,0.003529
八月,50,47,0.003318
古来,50,49,0.003459
镜中,50,50,0.003529
尘土,50,50,0.003529
秋天,50,50,0.003529
桃源,50,48,0.003388
闲居,50,50,0.003529
人归,50,50,0.003529
霓裳,50,39,0.002753
名利,50,48,0.003388
闻说,50,49,0.003459
宫中,49,47,0.003318
马上,49,49,0.003459
肠断,49,49,0.003459
南国,49,49,0.003459
月满,49,49,0.003459
江流,49,47,0.003318
归客,49,49,0.003459
新月,49,48,0.003388
功成,49,46,0.003247
莓苔,49,49,0.003459
临风,49,49,0.003459
天台,49,49,0.003459
十载,49,48,0.003388
逢人,49,48,0.003388
仙人,49,49,0.003459
夫子,49,39,0.002753
清净,48,48,0.003388
云间,48,47,0.003318
行客,48,48,0.003388
白蘋,48,47,0.003318
满地,48,47,0.003318
梧桐,48,48,0.003388
两相,48,46,0.003247
宁知,48,48,0.003388
路难,48,35,0.002471
飞鸟,48,48,0.003388
王孙,48,48,0.003388
霄汉,48,48,0.003388
青门,48,48,0.003388
高树,48,48,0.003388
池塘,48,48,0.003388
水清,48,48,0.003388
尚书,48,48,0.003388
望乡,47,47,0.003318
万年,47,44,0.003106
从军,47,45,0.003176
往事,47,46,0.003247
得意,47,45,0.003176
龙门,47,46,0.003247
年华,47,47,0.003318
流年,47,47,0.003318
远客,47,47,0.003318
依然,47,47,0.003318
猿啼,46,46,0.003247
梅花,46,45,0.003176
楼台,46,46,0.003247
君家,46,43,0.003035
客心,46,46,0.003247
辛苦,46,46,0.003247
秋日,46,46,0.003247
骨肉,46,46,0.003247
氛氲,46,45,0.003176
相访,46,46,0.003247
近来,46,46,0.003247
垂杨,45,41,0.002894
月出,45,45,0.003176
草绿,45,45,0.003176
公卿,45,44,0.003106
花间,45,45,0.003176
庭前,45,45,0.003176
柳色,45,45,0.003176
鹦鹉,45,45,0.003176
鹧鸪,45,38,0.002682
多情,45,45,0.003176
日照,45,45,0.003176
云深,45,45,0.003176
沧浪,45,44,0.003106
咫尺,45,44,0.003106
阙下,45,45,0.003176
夜雨,45,45,0.003176
重阳,44,43,0.003035
芳树,44,44,0.003106
逶迤,44,44,0.003106
千门,44,44,0.003106
日斜,44,44,0.003106
思君,44,41,0.002894
今已,44,43,0.003035
枕上,44,44,0.003106
山阴,44,43,0.003035
雨中,44,44,0.003106
黄花,44,44,0.003106
自怜,44,42,0.002965
青冥,43,42,0.002965
苦辛,43,42,0.002965
天外,43,43,0.003035
叹息,43,43,0.003035
泉声,43,43,0.003035
所以,43,42,0.002965
人情,43,43,0.003035
帝城,43,43,0.003035
故国,43,43,0.003035
杜陵,43,40,0.002823
浮生,43,43,0.003035
道士,43,41,0.002894
雨后,43,43,0.003035
波涛,43,43,0.003035
风动,42,42,0.002965
长江,42,42,0.002965
游子,42,38,0.002682
苍苔,42,42,0.002965
前程,42,40,0.002823
明时,42,42,0.002965
武陵,42,41,0.002894
永日,42,42,0.002965
自言,42,41,0.002894
微雨,41,41,0.002894
自由,41,40,0.002823
咸阳,41,40,0.002823
太平,41,39,0.002753
明主,41,41,0.002894
台上,41,41,0.002894
梨花,41,40,0.002823
汉水,41,41,0.002894
当年,41,41,0.002894
风霜,41,41,0.002894
翡翠,41,40,0.002823
圣朝,41,40,0.002823
紫微,41,40,0.002823
叶落,41,41,0.002894
牡丹,41,38,0.002682
公子,40,40,0.002823
羽翼,40,38,0.002682
星辰,40,37,0.002612
飘飖,40,40,0.002823
西山,40,39,0.002753
还家,40,39,0.002753
君恩,40,40,0.002823
相知,40,40,0.002823
路长,40,39,0.002753
萧索,40,40,0.002823
男儿,40,39,0.002753
岐路,40,40,0.002823
梦里,40,40,0.002823
金谷,40,39,0.002753
千金,40,40,0.002823
未央,39,39,0.002753
绿杨,39,39,0.002753
水声,39,39,0.002753
月落,39,39,0.002753
巫峡,39,39,0.002753
到处,39,39,0.002753
清明,39,39,0.002753
苍茫,39,39,0.002753
清秋,38,38,0.002682
汀洲,38,38,0.002682
歌声,38,38,0.002682
出入,38,38,0.002682
日晚,38,38,0.002682
秋声,38,38,0.002682
丹砂,38,35,0.002471
人世,38,38,0.002682
青楼,37,37,0.002612
鬼神,37,36,0.002541
九衢,37,37,0.002612
昔年,37,37,0.002612
苍梧,37,36,0.002541
九天,37,34,0.002400
菊花,37,37,0.002612
花飞,37,37,0.002612
弟子,37,34,0.002400
感激,36,36,0.002541
蛟龙,36,34,0.002400
行乐,36,36,0.002541
鸡鸣,36,36,0.002541
乔木,36,36,0.002541
意气,36,36,0.002541
红叶,36,36,0.002541
秋雨,36,36,0.002541
月光,36,35,0.002471
千古,36,33,0.002329
万古,36,36,0.002541
风飘,36,35,0.002471
水边,36,36,0.002541
阑干,35,35,0.002471
残月,35,33,0.002329
依稀,35,35,0.002471
苍生,35,34,0.002400
河汉,35,31,0.002188
无力,35,35,0.002471
玉树,35,35,0.002471
日落,34,34,0.002400
溪水,34,33,0.002329
丹青,34,33,0.002329
路傍,34,34,0.002400
细雨,34,34,0.002400
含情,34,34,0.002400
莺啼,34,34,0.002400
楼前,34,34,0.002400
渭水,34,34,0.002400
思量,34,33,0.002329
千秋,33,31,0.002188
万国,33,31,0.002188
云飞,33,32,0.002259
昆仑,33,33,0.002329
红粉,33,31,0.002188
雨雪,33,33,0.002329
春雨,33,31,0.002188
残阳,33,33,0.002329
帝乡,33,33,0.002329
圣主,33,33,0.002329
多少,33,33,0.002329
鸟飞,33,33,0.002329
物外,33,27,0.001906
登临,33,33,0.002329
朝廷,33,33,0.002329
山高,32,31,0.002188
相寻,32,32,0.002259
单于,31,31,0.002188
宫殿,31,31,0.002188
大道,31,31,0.002188
万户,31,31,0.002188
烟雨,31,31,0.002188
双飞,31,31,0.002188
承恩,31,31,0.002188
钓鱼,31,31,0.002188
双阙,31,31,0.002188
北阙,31,31,0.002188
空馀,31,31,0.002188
东海,30,29,0.002047
马嘶,30,30,0.002118
路岐,30,30,0.002118
珍重,30,29,0.002047
绿水,29,29,0.002047
清晨,29,29,0.002047
