词1,词2,NPMI值,PMI值,共现文档数,词1文档频次,词2文档频次,词1概率,词2概率,联合概率
行路,路难,0.766237,5.028763,20,53,35,0.003741,0.002471,0.001412
洛阳,阳城,0.650059,3.884203,36,184,57,0.012988,0.004023,0.002541
万户,千门,0.639888,4.643079,10,31,44,0.002188,0.003106,0.000706
翡翠,鸳鸯,0.611385,4.275857,13,40,64,0.002823,0.004518,0.000918
含情,皎然,0.577069,5.116019,2,34,5,0.002400,0.000353,0.000141
东西,南北,0.565381,3.540889,27,144,77,0.010164,0.005435,0.001906
路长,道路,0.546167,3.910978,11,39,80,0.002753,0.005647,0.000776
乾坤,昆仑,0.540704,4.116253,7,49,33,0.003459,0.002329,0.000494
今年,去年,0.529690,3.503490,19,100,81,0.007059,0.005718,0.001341
山色,水声,0.524113,3.858227,9,69,39,0.004870,0.002753,0.000635
圣主,苍生,0.521464,4.145240,5,33,34,0.002329,0.002400,0.000353
中原,自言,0.517581,4.378761,3,13,41,0.000918,0.002894,0.000212
英雄,路难,0.511740,4.329346,3,16,35,0.001129,0.002471,0.000212
湘水,潇湘,0.505529,3.575995,12,61,78,0.004306,0.005506,0.000847
白玉,黄金,0.504003,3.333591,19,64,150,0.004518,0.010588,0.001341
清秋,英雄,0.502019,4.247108,3,38,16,0.002682,0.001129,0.000212
宫中,歌舞,0.500708,3.744913,8,47,57,0.003318,0.004023,0.000565
星辰,鬼神,0.499881,3.973672,5,37,36,0.002612,0.002541,0.000353
北斗,梦魂,0.499518,4.225952,3,27,23,0.001906,0.001623,0.000212
君王,宫中,0.496812,3.657252,9,70,47,0.004941,0.003318,0.000635
巫峡,猿啼,0.496752,3.858227,6,39,46,0.002753,0.003247,0.000424
乾坤,瑶池,0.496479,4.057412,4,49,20,0.003459,0.001412,0.000282
东南,皎然,0.494015,4.379700,2,71,5,0.005012,0.000353,0.000141
大道,自然,0.492100,3.822098,6,31,60,0.002188,0.004235,0.000424
美人,青楼,0.490716,3.612378,9,93,37,0.006565,0.002612,0.000635
九重,玉楼,0.490074,3.895710,5,60,24,0.004235,0.001694,0.000353
宫中,昔时,0.489916,4.003775,4,47,22,0.003318,0.001553,0.000282
瑶池,蛟龙,0.488790,4.135190,3,20,34,0.001412,0.002400,0.000212
明月,月夜,0.487583,3.131830,23,241,59,0.017011,0.004165,0.001623
弟子,承恩,0.487571,3.984617,4,34,31,0.002400,0.002188,0.000282
巫山,阳台,0.485026,4.103349,3,26,27,0.001835,0.001906,0.000212
清净,莲花,0.483679,3.682136,7,48,52,0.003388,0.003671,0.000494
