词,出现次数,文档频次,文档概率
白云,104,99,0.042913
万里,94,89,0.038578
千里,84,80,0.034677
明月,81,78,0.033810
今日,63,62,0.026875
天子,58,55,0.023840
凤凰,54,54,0.023407
洛阳,53,51,0.022107
秋风,50,49,0.021240
山川,50,50,0.021673
歌舞,49,49,0.021240
落花,48,33,0.014304
平生,46,45,0.019506
悠悠,45,41,0.017772
故人,42,39,0.016905
参差,41,39,0.016905
将军,41,36,0.015605
白日,41,38,0.016472
长安,40,40,0.017339
相思,39,33,0.014304
春风,38,36,0.015605
风吹,38,38,0.016472
裴回,37,36,0.015605
杨柳,37,37,0.016038
年年,36,33,0.014304
可怜,36,34,0.014738
神仙,35,35,0.015171
春色,33,31,0.013437
南山,33,33,0.014304
芳菲,32,31,0.013437
千金,32,32,0.013871
关山,32,31,0.013437
日暮,32,32,0.013871
桃李,31,29,0.012570
风烟,30,30,0.013004
千年,30,29,0.012570
光辉,30,30,0.013004
天下,29,28,0.012137
天上,29,28,0.012137
宁知,28,28,0.012137
流水,28,28,0.012137
万年,28,28,0.012137
风起,27,27,0.011704
花落,27,26,0.011270
青山,27,26,0.011270
百年,27,26,0.011270
日月,27,27,0.011704
山水,26,26,0.011270
君王,26,24,0.010403
巫山,26,22,0.009536
叹息,26,25,0.010837
窈窕,26,26,0.011270
他乡,26,26,0.011270
天地,25,23,0.009970
洞庭,25,24,0.010403
花开,25,25,0.010837
芳树,25,25,0.010837
欢娱,25,24,0.010403
千载,25,25,0.010837
美人,24,24,0.010403
氛氲,24,24,0.010403
江上,24,20,0.008669
风尘,23,23,0.009970
鸳鸯,23,20,0.008669
十年,23,23,0.009970
明主,23,23,0.009970
青春,23,20,0.008669
桃花,23,23,0.009970
落日,22,22,0.009536
闻道,22,22,0.009536
浮云,22,22,0.009536
黄金,22,22,0.009536
汉家,22,22,0.009536
自怜,22,22,0.009536
今朝,22,22,0.009536
仙人,22,22,0.009536
帝乡,21,21,0.009103
未央,21,20,0.008669
蛾眉,21,21,0.009103
风光,21,21,0.009103
千秋,21,19,0.008236
白露,21,21,0.009103
公子,21,21,0.009103
归路,21,21,0.009103
岁月,21,21,0.009103
九重,20,20,0.008669
阳春,20,20,0.008669
纵横,20,19,0.008236
海上,20,20,0.008669
岐路,20,20,0.008669
故乡,20,18,0.007802
烟霞,19,19,0.008236
月明,19,19,0.008236
秋月,19,19,0.008236
白头,19,16,0.006935
北斗,19,19,0.008236
白发,18,18,0.007802
芙蓉,18,18,0.007802
月照,18,18,0.007802
镜中,18,18,0.007802
意气,18,17,0.007369
古来,18,18,0.007802
少年,18,14,0.006068
莲花,18,12,0.005202
佳人,18,18,0.007802
登高,18,18,0.007802
归来,18,17,0.007369
相望,18,16,0.006935
梅花,18,17,0.007369
万国,17,17,0.007369
携手,17,17,0.007369
翠微,17,17,0.007369
千门,17,17,0.007369
高台,17,11,0.004768
御沟,17,16,0.006935
相逢,17,17,0.007369
不归,17,17,0.007369
别离,17,17,0.007369
无穷,17,15,0.006502
青门,17,17,0.007369
瑶池,16,16,0.006935
回首,16,16,0.006935
路长,16,16,0.006935
山下,16,16,0.006935
思君,16,16,0.006935
逶迤,16,16,0.006935
东流,16,16,0.006935
今年,16,14,0.006068
明年,16,16,0.006935
春来,16,16,0.006935
青云,16,15,0.006502
圣人,16,12,0.005202
楼上,15,15,0.006502
君子,15,15,0.006502
紫微,15,15,0.006502
宛转,15,15,0.006502
云间,15,15,0.006502
离别,15,15,0.006502
江南,15,13,0.005635
管弦,15,15,0.006502
同心,15,13,0.005635
游人,15,15,0.006502
人间,15,15,0.006502
日落,15,15,0.006502
山中,15,14,0.006068
东山,15,15,0.006502
白首,15,15,0.006502
淹留,14,14,0.006068
徘徊,14,14,0.006068
北阙,14,14,0.006068
花飞,14,14,0.006068
空馀,14,14,0.006068
楼台,14,14,0.006068
青楼,14,14,0.006068
相识,14,14,0.006068
西山,14,13,0.005635
马上,14,14,0.006068
行路,14,8,0.003468
路难,14,8,0.003468
无限,14,14,0.006068
风霜,14,14,0.006068
尘埃,14,14,0.006068
山河,14,14,0.006068
昔时,13,13,0.005635
年华,13,13,0.005635
黄鹤,13,13,0.005635
迢递,13,12,0.005202
人生,13,13,0.005635
柳色,13,13,0.005635
绮罗,13,13,0.005635
北风,13,13,0.005635
寂寞,13,12,0.005202
金谷,13,13,0.005635
相送,13,13,0.005635
知己,13,13,0.005635
苦辛,13,13,0.005635
蓬莱,13,13,0.005635
月下,13,12,0.005202
月夜,13,13,0.005635
客心,13,13,0.005635
清风,12,12,0.005202
玉树,12,12,0.005202
物外,12,12,0.005202
菊花,12,12,0.005202
月光,12,12,0.005202
朝朝,12,12,0.005202
今夜,12,12,0.005202
空山,12,12,0.005202
辛苦,12,12,0.005202
红粉,12,12,0.005202
红尘,12,12,0.005202
翡翠,12,12,0.005202
行人,12,11,0.004768
归去,12,12,0.005202
月满,12,12,0.005202
丈夫,12,12,0.005202
行乐,12,12,0.005202
草绿,12,12,0.005202
龙门,12,11,0.004768
游子,12,12,0.005202
芳草,12,12,0.005202
春草,12,11,0.004768
别后,12,12,0.005202
春光,12,11,0.004768
东南,12,12,0.005202
摇落,12,12,0.005202
丹青,12,12,0.005202
鹦鹉,12,12,0.005202
江山,12,12,0.005202
风景,12,12,0.005202
长沙,12,12,0.005202
秋色,11,11,0.004768
今已,11,9,0.003901
道路,11,11,0.004768
望乡,11,11,0.004768
君恩,11,11,0.004768
日晚,11,11,0.004768
含情,11,11,0.004768
天涯,11,11,0.004768
日照,11,11,0.004768
白玉,11,11,0.004768
日斜,11,11,0.004768
青松,11,11,0.004768
黄叶,11,11,0.004768
阳城,11,11,0.004768
颜色,11,8,0.003468
松柏,11,11,0.004768
高楼,11,11,0.004768
夜月,11,11,0.004768
昔日,11,10,0.004335
太平,11,11,0.004768
自言,11,10,0.004335
独坐,11,11,0.004768
桃源,11,11,0.004768
伤心,11,11,0.004768
重阳,11,11,0.004768
清明,11,10,0.004335
今来,10,10,0.004335
古木,10,10,0.004335
旌旗,10,10,0.004335
沧海,10,10,0.004335
百花,10,10,0.004335
松风,10,10,0.004335
猿啼,10,10,0.004335
云飞,10,10,0.004335
萧条,10,10,0.004335
风月,10,10,0.004335
憔悴,10,10,0.004335
南国,10,10,0.004335
云雨,10,10,0.004335
天外,10,10,0.004335
关河,10,10,0.004335
经过,10,10,0.004335
湘水,10,10,0.004335
花前,10,10,0.004335
古人,10,10,0.004335
春日,10,10,0.004335
零落,10,10,0.004335
江水,10,10,0.004335
封侯,10,10,0.004335
知音,10,10,0.004335
落叶,10,10,0.004335
岁寒,10,10,0.004335
承恩,10,10,0.004335
生涯,10,10,0.004335
殷勤,10,10,0.004335
故园,10,10,0.004335
昨夜,10,9,0.003901
路傍,10,10,0.004335
自然,10,10,0.004335
白马,10,10,0.004335
花发,10,10,0.004335
昆仑,10,8,0.003468
苍梧,10,10,0.004335
江海,10,10,0.004335
寒食,10,8,0.003468
文章,10,10,0.004335
干戈,9,9,0.003901
鸡鸣,9,9,0.003901
渭水,9,9,0.003901
凉风,9,9,0.003901
明日,9,9,0.003901
飘飖,9,9,0.003901
明朝,9,9,0.003901
圣主,9,9,0.003901
单于,9,8,0.003468
夕阳,9,9,0.003901
大道,9,9,0.003901
佳期,9,9,0.003901
肠断,9,9,0.003901
车马,9,9,0.003901
花满,9,9,0.003901
王孙,9,9,0.003901
