词,出现次数,文档频次,文档概率
万里,384,377,0.024615
春风,382,363,0.023701
千里,352,344,0.022460
人间,341,323,0.021089
白云,337,335,0.021873
惆怅,336,327,0.021350
今日,322,320,0.020893
明月,270,263,0.017172
风吹,267,261,0.017041
归去,255,254,0.016584
年年,251,244,0.015931
芳草,231,228,0.014886
相思,223,211,0.013776
悠悠,222,220,0.014364
相逢,220,219,0.014299
回首,220,218,0.014233
十年,218,217,0.014168
东风,217,211,0.013776
秋风,216,214,0.013972
青山,216,212,0.013842
夕阳,213,213,0.013907
风雨,212,210,0.013711
月明,212,205,0.013385
江上,207,204,0.013319
少年,205,202,0.013189
故人,205,203,0.013254
当时,197,196,0.012797
长安,196,192,0.012536
白日,195,191,0.012471
天涯,194,192,0.012536
黄金,188,181,0.011818
烟霞,185,184,0.012014
落花,182,180,0.011752
寂寞,178,175,0.011426
芙蓉,176,172,0.011230
鸳鸯,172,160,0.010447
花落,169,166,0.010838
天子,169,152,0.009924
平生,169,165,0.010773
行人,166,164,0.010708
可怜,166,166,0.010838
无限,166,165,0.010773
流水,165,163,0.010642
白发,165,165,0.010773
寂寥,163,163,0.010642
将军,160,155,0.010120
杨柳,159,157,0.010251
青云,158,158,0.010316
先生,158,149,0.009728
归来,155,151,0.009859
分明,151,150,0.009794
风流,150,147,0.009598
白头,149,147,0.009598
别离,148,145,0.009467
终日,148,148,0.009663
江南,146,141,0.009206
门前,144,141,0.009206
桃花,142,135,0.008814
笙歌,140,129,0.008423
参差,139,139,0.009075
西风,139,138,0.009010
天地,138,132,0.008618
洞庭,138,136,0.008880
花开,137,135,0.008814
相见,137,129,0.008423
故乡,136,134,0.008749
日月,134,133,0.008684
天下,134,125,0.008161
落日,134,134,0.008749
殷勤,133,132,0.008618
尘埃,132,131,0.008553
清风,131,129,0.008423
楼台,129,128,0.008357
多少,127,126,0.008227
半夜,125,123,0.008031
消息,124,124,0.008096
千年,122,121,0.007900
今朝,120,119,0.007770
风起,120,120,0.007835
至今,118,118,0.007704
潇湘,118,116,0.007574
春色,117,114,0.007443
君王,115,101,0.006594
主人,115,111,0.007247
不归,115,115,0.007508
美人,114,110,0.007182
天上,113,107,0.006986
山色,111,109,0.007117
凤凰,110,107,0.006986
萧萧,110,110,0.007182
故国,110,110,0.007182
万古,109,109,0.007117
山下,109,107,0.006986
残阳,109,109,0.007117
东西,108,107,0.006986
月中,108,107,0.006986
神仙,108,107,0.006986
日暮,107,105,0.006856
高楼,104,103,0.006725
时节,104,103,0.006725
南山,103,100,0.006529
人心,103,102,0.006660
年少,103,99,0.006464
山中,102,101,0.006594
夜深,101,101,0.006594
千万,101,100,0.006529
公子,101,97,0.006333
无情,100,99,0.006464
故园,99,99,0.006464
是非,99,98,0.006399
黄昏,98,98,0.006399
红叶,97,97,0.006333
山川,97,97,0.006333
百年,96,92,0.006007
古人,95,88,0.005746
世间,95,95,0.006203
昨夜,94,91,0.005941
知音,94,94,0.006137
佳人,93,92,0.006007
多情,92,89,0.005811
王孙,92,90,0.005876
江边,92,92,0.006007
海上,91,89,0.005811
翠微,91,91,0.005941
去年,90,87,0.005680
茫茫,90,84,0.005484
人家,90,89,0.005811
明日,90,87,0.005680
云雨,90,89,0.005811
零落,89,89,0.005811
沧海,89,86,0.005615
天台,89,88,0.005746
扁舟,89,88,0.005746
依旧,88,87,0.005680
有情,88,87,0.005680
江山,88,86,0.005615
草木,87,85,0.005550
离别,87,85,0.005550
阑干,86,85,0.005550
当年,86,86,0.005615
自古,86,86,0.005615
春来,86,81,0.005289
杏花,86,85,0.005550
知己,86,86,0.005615
花时,86,86,0.005615
秋水,86,86,0.005615
斜阳,86,86,0.005615
春草,85,85,0.005550
文章,85,82,0.005354
夜来,85,85,0.005550
桃李,85,83,0.005419
早晚,85,84,0.005484
太平,85,84,0.005484
草堂,85,84,0.005484
孤舟,85,85,0.005550
断肠,84,82,0.005354
衣裳,83,81,0.005289
今来,83,83,0.005419
梦魂,83,83,0.005419
春水,83,82,0.005354
江湖,83,81,0.005289
独自,82,82,0.005354
公卿,82,81,0.005289
烟波,82,82,0.005354
草色,82,82,0.005354
看花,82,80,0.005223
秋色,82,82,0.005354
怅望,82,82,0.005354
肠断,81,78,0.005093
明朝,81,78,0.005093
东流,80,78,0.005093
鹦鹉,80,78,0.005093
乾坤,80,80,0.005223
他年,80,80,0.005223
无穷,79,79,0.005158
碧云,79,79,0.005158
水边,79,77,0.005027
故山,79,79,0.005158
浮云,78,77,0.005027
归路,78,78,0.005093
残月,77,77,0.005027
焚香,77,75,0.004897
寒食,77,76,0.004962
池塘,77,77,0.005027
月照,76,76,0.004962
游人,76,74,0.004832
南北,76,76,0.004962
吟诗,76,73,0.004766
南国,76,75,0.004897
风月,76,75,0.004897
流年,76,75,0.004897
憔悴,75,75,0.004897
马嘶,75,73,0.004766
千古,75,75,0.004897
梦中,75,75,0.004897
山河,75,75,0.004897
旌旗,75,74,0.004832
新诗,75,75,0.004897
多病,75,74,0.004832
题诗,75,75,0.004897
潺湲,74,73,0.004766
昔年,74,74,0.004832
深处,74,71,0.004636
山水,74,74,0.004832
思量,73,73,0.004766
昨日,73,72,0.004701
裴回,73,73,0.004766
朱门,73,72,0.004701
名利,73,73,0.004766
往来,73,73,0.004766
向人,73,73,0.004766
别后,73,73,0.004766
人生,72,71,0.004636
马上,72,72,0.004701
楼上,72,69,0.004505
岁月,72,71,0.004636
生涯,72,72,0.004701
浮生,71,71,0.004636
翡翠,71,71,0.004636
迢递,71,71,0.004636
千载,70,70,0.004570
造化,70,70,0.004570
绮罗,70,69,0.004505
歌舞,70,68,0.004440
水流,70,70,0.004570
回头,70,70,0.004570
他日,70,70,0.004570
经年,70,70,0.004570
明时,70,69,0.004505
相忆,70,66,0.004309
往事,70,70,0.004570
萧条,69,69,0.004505
月满,69,69,0.004505
春光,69,68,0.004440
明年,69,69,0.004505
眼前,68,67,0.004375
烟雨,68,67,0.004375
君子,68,66,0.004309
枕上,68,64,0.004179
江水,68,67,0.004375
细雨,68,67,0.004375
花枝,68,67,0.004375
沧洲,68,68,0.004440
等闲,68,64,0.004179
干戈,67,67,0.004375
洛阳,67,64,0.004179
相寻,67,67,0.004375
落叶,67,67,0.004375
路岐,67,67,0.004375
莓苔,67,67,0.004375
英雄,67,67,0.004375
钓鱼,67,67,0.004375
逍遥,66,66,0.004309
林下,66,66,0.004309
自由,66,65,0.004244
登临,66,66,0.004309
凄凉,66,66,0.004309
谢公,66,65,0.004244
牡丹,65,63,0.004113
伤心,65,63,0.004113
暮雨,64,63,0.004113
云深,64,63,0.004113
歌声,64,62,0.004048
管弦,64,62,0.004048
珍重,64,63,0.004113
来往,63,63,0.004113
车马,63,63,0.004113
波涛,63,63,0.004113
玉楼,63,61,0.003983
使君,63,58,0.003787
近来,63,62,0.004048
夜雨,63,62,0.004048
沧浪,63,61,0.003983
古今,62,62,0.004048
远山,62,62,0.004048
马蹄,62,62,0.004048
空山,62,62,0.004048
春日,62,62,0.004048
青春,62,60,0.003917
颜色,62,61,0.003983
东南,62,62,0.004048
今夜,62,61,0.003983
道路,62,62,0.004048
路长,62,62,0.004048
蓬莱,62,59,0.003852
读书,62,60,0.003917
尘土,62,62,0.004048
野花,62,62,0.004048
太守,62,61,0.003983
白首,62,61,0.003983
男儿,61,61,0.003983
湘水,61,60,0.003917
红尘,61,61,0.003983
风光,61,61,0.003983
孤云,61,60,0.003917
花发,60,60,0.003917
婵娟,60,60,0.003917
旧游,60,60,0.003917
关河,60,60,0.003917
花满,60,60,0.003917
所思,60,60,0.003917
泉声,60,60,0.003917
十里,60,60,0.003917
自知,60,60,0.003917
深山,60,59,0.003852
秋来,60,60,0.003917
青草,59,59,0.003852
无力,59,58,0.003787
黄河,59,59,0.003852
世人,59,59,0.003852
相送,59,58,0.003787
独立,59,58,0.003787
高台,58,58,0.003787
白玉,58,57,0.003722
自然,58,58,0.003787
垂杨,58,55,0.003591
临水,58,57,0.003722
月落,58,58,0.003787
才子,58,58,0.003787
月下,58,58,0.003787
吾道,58,58,0.003787
青楼,57,57,0.003722
九衢,57,57,0.003722
夜月,57,56,0.003656
绿杨,57,57,0.003722
相对,57,57,0.003722
从容,57,57,0.003722
水声,56,56,0.003656
登楼,56,56,0.003656
高树,56,55,0.003591
雨后,56,56,0.003656
相随,56,56,0.003656
苍苔,56,56,0.003656
秋雨,56,56,0.003656
春雨,56,56,0.003656
青天,55,54,0.003526
日照,55,54,0.003526
功成,55,55,0.003591
花下,55,52,0.003395
汀洲,55,54,0.003526
兄弟,54,54,0.003526
到处,54,53,0.003460
十载,54,54,0.003526
行客,54,51,0.003330
白蘋,54,54,0.003526
雨中,54,54,0.003526
可惜,54,53,0.003460
鹧鸪,54,54,0.003526
黄叶,54,54,0.003526
石上,54,54,0.003526
摇落,53,53,0.003460
姓名,53,51,0.003330
古来,53,53,0.003460
弟子,53,53,0.003460
古木,53,53,0.003460
岐路,53,51,0.003330
辛苦,53,52,0.003395
心期,53,53,0.003460
青冥,52,52,0.003395
连天,52,52,0.003395
百尺,52,51,0.003330
雨露,52,52,0.003395
自怜,52,52,0.003395
寻常,52,52,0.003395
微雨,52,52,0.003395
封侯,51,51,0.003330
蹉跎,51,51,0.003330
秋声,51,51,0.003330
相亲,51,51,0.003330
清明,51,50,0.003265
闻说,51,51,0.003330
天外,51,50,0.003265
高秋,51,51,0.003330
依稀,51,51,0.003330
清秋,51,51,0.003330
花前,50,47,0.003069
白雪,50,50,0.003265
羽翼,50,50,0.003265
镜中,50,49,0.003199
诸侯,50,48,0.003134
月夜,50,50,0.003265
梨花,50,48,0.003134
中原,50,48,0.003134
归心,50,50,0.003265
凉风,49,49,0.003199
走马,49,47,0.003069
临风,49,49,0.003199
游子,49,49,0.003199
纵横,49,49,0.003199
百花,49,49,0.003199
圣主,49,49,0.003199
秋月,49,49,0.003199
前程,49,49,0.003199
人情,49,49,0.003199
相识,48,48,0.003134
仙人,48,48,0.003134
月色,48,47,0.003069
满地,48,48,0.003134
相看,48,48,0.003134
晚来,48,48,0.003134
还家,48,47,0.003069
帝乡,48,48,0.003134
梧桐,48,48,0.003134
闭门,48,47,0.003069
徘徊,48,48,0.003134
山高,47,47,0.003069
八月,47,47,0.003069
次第,47,46,0.003003
从军,47,47,0.003069
头白,47,47,0.003069
向东,47,46,0.003003
风景,47,47,0.003069
池上,47,47,0.003069
日斜,47,46,0.003003
九重,46,46,0.003003
北风,46,44,0.002873
人归,46,46,0.003003
鸡鸣,46,46,0.003003
年华,46,45,0.002938
子孙,46,46,0.003003
怜君,46,46,0.003003
