词1,词2,NPMI值,PMI值,共现文档数,词1文档频次,词2文档频次,词1概率,词2概率,联合概率
行路,路难,0.808657,5.550677,16,34,28,0.002220,0.001828,0.001045
万户,千门,0.689438,4.776841,15,45,43,0.002938,0.002808,0.000979
今年,去年,0.635165,4.359815,16,36,87,0.002350,0.005680,0.001045
今夜,夜月,0.622520,4.273016,16,61,56,0.003983,0.003656,0.001045
洛阳,阳城,0.616610,4.522259,10,64,26,0.004179,0.001698,0.000653
东西,南北,0.590088,3.811145,24,107,76,0.006986,0.004962,0.001567
北阙,南宫,0.581032,4.664066,5,38,19,0.002481,0.001241,0.000326
千门,霓裳,0.577665,4.531718,6,43,23,0.002808,0.001502,0.000392
两相,北斗,0.560705,4.626018,4,30,20,0.001959,0.001306,0.000261
云深,深处,0.553032,3.869896,14,63,71,0.004113,0.004636,0.000914
北阙,南山,0.542358,3.878804,12,38,100,0.002481,0.006529,0.000783
路长,道路,0.540748,3.867291,12,62,62,0.004048,0.004048,0.000783
玉堂,白玉,0.538568,4.006637,9,44,57,0.002873,0.003722,0.000588
意气,昆仑,0.537972,4.593228,3,15,31,0.000979,0.002024,0.000196
单于,汉家,0.527054,4.348386,4,22,36,0.001436,0.002350,0.000261
山色,水声,0.523627,3.628004,15,109,56,0.007117,0.003656,0.000979
云雨,巫山,0.520248,3.931622,8,89,27,0.005811,0.001763,0.000522
圣人,尚书,0.517249,4.626018,2,25,12,0.001632,0.000783,0.000131
南宫,衣冠,0.508989,4.552148,2,19,17,0.001241,0.001110,0.000131
渭水,霓裳,0.508896,4.198574,4,40,23,0.002612,0.001502,0.000261
壮士,意气,0.501622,4.486256,2,23,15,0.001502,0.000979,0.000131
伤心,心事,0.497808,3.828511,7,63,37,0.004113,0.002416,0.000457
满地,花满,0.496287,3.750549,8,48,60,0.003134,0.003917,0.000522
叹息,行路,0.493459,4.213173,3,20,34,0.001306,0.002220,0.000196
东流,向东,0.490431,3.648528,9,78,46,0.005093,0.003003,0.000588
北斗,水清,0.490064,4.184185,3,20,35,0.001306,0.002285,0.000196
兄弟,出入,0.489730,4.181332,3,54,13,0.003526,0.000849,0.000196
衣冠,霓裳,0.487627,4.361093,2,17,23,0.001110,0.001502,0.000131
皎然,风霜,0.487203,4.695011,1,7,20,0.000457,0.001306,0.000065
出入,金陵,0.484247,4.330864,2,13,31,0.000849,0.002024,0.000131
出入,骑马,0.484247,4.330864,2,13,31,0.000849,0.002024,0.000131
新月,罗衣,0.480800,3.966772,4,29,40,0.001893,0.002612,0.000261
宛转,逶迤,0.478670,4.612773,1,19,8,0.001241,0.000522,0.000065
城下,阳城,0.477390,4.075972,3,30,26,0.001959,0.001698,0.000196
南宫,霓裳,0.475190,4.249867,2,19,23,0.001241,0.001502,0.000131
弟子,霓裳,0.474787,3.917162,4,53,23,0.003460,0.001502,0.000261
今朝,昨日,0.474686,3.288914,15,119,72,0.007770,0.004701,0.000979
君恩,宫中,0.473698,3.908178,4,41,30,0.002677,0.001959,0.000261
登高,重阳,0.472717,3.900081,4,31,40,0.002024,0.002612,0.000261
歌声,窈窕,0.471739,3.786752,5,62,28,0.004048,0.001828,0.000326
时节,花时,0.469882,3.255627,15,103,86,0.006725,0.005615,0.000979
梨花,满地,0.469861,3.686011,6,48,48,0.003134,0.003134,0.000392
同心,鸳鸯,0.469467,3.357507,12,40,160,0.002612,0.010447,0.000783
白马,马嘶,0.468514,3.603225,7,40,73,0.002612,0.004766,0.000457
氛氲,汉家,0.467527,4.181332,2,13,36,0.000849,0.002350,0.000131
老人,逢人,0.467324,3.990029,3,25,34,0.001632,0.002220,0.000196
出入,朝朝,0.464464,4.153933,2,13,37,0.000849,0.002416,0.000131
九天,霓裳,0.464063,3.962185,3,38,23,0.002481,0.001502,0.000196
叶落,江城,0.463951,3.724232,5,42,44,0.002742,0.002873,0.000326
秋日,马蹄,0.463144,3.717759,5,30,62,0.001959,0.004048,0.000326
出入,歌舞,0.462730,3.950809,3,13,68,0.000849,0.004440,0.000196
春草,草绿,0.462425,3.556393,7,85,36,0.005550,0.002350,0.000457
白玉,黄金,0.461489,3.167694,16,57,181,0.003722,0.011818,0.001045
北阙,氛氲,0.461482,4.127265,2,38,13,0.002481,0.000849,0.000131
乾坤,昆仑,0.460478,3.612399,6,80,31,0.005223,0.002024,0.000392
翡翠,鸳鸯,0.460357,3.132013,17,71,160,0.004636,0.010447,0.001110
古木,山高,0.459914,3.607973,6,53,47,0.003460,0.003069,0.000392
圣人,自言,0.454677,4.066402,2,25,21,0.001632,0.001371,0.000131
登高,衣冠,0.454251,4.062600,2,31,17,0.002024,0.001110,0.000131
宛转,紫微,0.453196,4.053157,2,19,28,0.001241,0.001828,0.000131
万国,宫殿,0.452826,3.866251,3,26,37,0.001698,0.002416,0.000196
北斗,远近,0.451527,4.038231,2,20,27,0.001306,0.001763,0.000131
东海,宁知,0.451527,4.038231,2,27,20,0.001763,0.001306,0.000131
双阙,圣人,0.451254,3.852828,3,39,25,0.002546,0.001632,0.000196
圣人,梦里,0.451254,3.852828,3,25,39,0.001632,0.002546,0.000196
云雨,阳台,0.451068,3.538579,6,89,30,0.005811,0.001959,0.000392
功名,壮士,0.449585,3.838571,3,43,23,0.002808,0.001502,0.000196
圣人,玲珑,0.449475,4.019882,2,25,22,0.001632,0.001436,0.000131
九重,尚书,0.449069,4.016252,2,46,12,0.003003,0.000783,0.000131
凤凰,鹦鹉,0.448557,3.172065,13,107,78,0.006986,0.005093,0.000849
九天,瑶池,0.448039,3.696482,4,38,40,0.002481,0.002612,0.000261
北斗,窈窕,0.447460,4.001864,2,20,28,0.001306,0.001828,0.000131
叹息,路难,0.447460,4.001864,2,20,28,0.001306,0.001828,0.000131
北斗,紫微,0.447460,4.001864,2,20,28,0.001306,0.001828,0.000131
中原,自言,0.447356,3.819542,3,48,21,0.003134,0.001371,0.000196
宫中,百尺,0.447244,3.689925,4,30,51,0.001959,0.003330,0.000261
尚书,走马,0.446664,3.994746,2,12,47,0.000783,0.003069,0.000131
壮士,干戈,0.446376,3.682761,4,23,67,0.001502,0.004375,0.000261
山头,白露,0.445970,3.807708,3,34,30,0.002220,0.001959,0.000196
宛转,宫中,0.445481,3.984164,2,19,30,0.001241,0.001959,0.000131
归客,花下,0.444891,3.670507,4,30,52,0.001959,0.003395,0.000261
丈夫,壮士,0.444505,3.975430,2,25,23,0.001632,0.001502,0.000131
明主,衣冠,0.443923,3.970227,2,34,17,0.002220,0.001110,0.000131
叹息,清净,0.443537,3.966772,2,20,29,0.001306,0.001893,0.000131
北斗,清净,0.443537,3.966772,2,20,29,0.001306,0.001893,0.000131
人间,向人,0.443147,2.826638,26,323,73,0.021089,0.004766,0.001698
万国,太平,0.443140,3.557178,5,26,84,0.001698,0.005484,0.000326
芳树,金谷,0.442577,3.958189,2,15,39,0.000979,0.002546,0.000131
两相,夜长,0.442575,3.778720,3,30,35,0.001959,0.002285,0.000196
夜长,宫中,0.442575,3.778720,3,35,30,0.002285,0.001959,0.000196
宫中,承恩,0.442575,3.778720,3,30,35,0.001959,0.002285,0.000196
公卿,出入,0.442240,3.775867,3,81,13,0.005289,0.000849,0.000196
菊花,重阳,0.441822,3.645189,4,40,40,0.002612,0.002612,0.000261
梨花,花满,0.441417,3.462867,6,48,60,0.003134,0.003917,0.000392
九天,紫微,0.441023,3.765475,3,38,28,0.002481,0.001828,0.000196
万国,朝廷,0.440119,3.936210,2,26,23,0.001698,0.001502,0.000131
九天,蓬莱,0.439875,3.530968,5,38,59,0.002481,0.003852,0.000326
出入,日夕,0.439830,4.238491,1,13,17,0.000849,0.001110,0.000065
北斗,宫中,0.439746,3.932871,2,20,30,0.001306,0.001959,0.000131
思量,罗衣,0.439658,3.449074,6,73,40,0.004766,0.002612,0.000392
闭门,霓裳,0.439167,3.749624,3,47,23,0.003069,0.001502,0.000196
宛转,相对,0.438950,3.747775,3,19,57,0.001241,0.003722,0.000196
垂杨,春来,0.438563,3.314313,8,55,81,0.003591,0.005289,0.000522
欢娱,送客,0.437969,4.220553,1,15,15,0.000979,0.000979,0.000065
万物,天地,0.437871,3.367557,7,28,132,0.001828,0.008618,0.000457
白玉,花下,0.437752,3.434118,6,57,52,0.003722,0.003395,0.000392
万古,千秋,0.437520,3.364855,7,109,34,0.007117,0.002220,0.000457
云飞,清净,0.436913,3.730384,3,38,29,0.002481,0.001893,0.000196
人间,天上,0.436908,2.682680,33,323,107,0.021089,0.006986,0.002155
桃源,梨花,0.436701,3.728570,3,23,48,0.001502,0.003134,0.000196
宛转,尚书,0.436594,4.207308,1,19,12,0.001241,0.000783,0.000065
承恩,相忆,0.436152,3.501088,5,35,66,0.002285,0.004309,0.000326
宁知,松柏,0.436080,3.900081,2,20,31,0.001306,0.002024,0.000131
叶落,罗衣,0.435908,3.596399,4,42,40,0.002742,0.002612,0.000261
花间,霓裳,0.435899,3.898469,2,27,23,0.001763,0.001502,0.000131
咸阳,壮士,0.435899,3.898469,2,27,23,0.001763,0.001502,0.000131
万年,东方,0.435899,3.898469,2,23,27,0.001502,0.001763,0.000131
秋天,蛟龙,0.435435,3.717759,3,36,31,0.002350,0.002024,0.000196
未央,草绿,0.435435,3.717759,3,31,36,0.002024,0.002350,0.000196
封侯,黄鹤,0.434807,3.712398,3,51,22,0.003330,0.001436,0.000196
满眼,花满,0.434545,3.488185,5,39,60,0.002546,0.003917,0.000326
人生,生死,0.434385,3.486904,5,71,33,0.004636,0.002155,0.000326
岁寒,青松,0.433871,3.704408,3,39,29,0.002546,0.001893,0.000196
千门,渭水,0.433056,3.572868,4,43,40,0.002808,0.002612,0.000261
罗衣,鸳鸯,0.432936,3.175185,10,40,160,0.002612,0.010447,0.000653
万物,壮士,0.431833,3.862102,2,28,23,0.001828,0.001502,0.000131
壮士,对酒,0.431833,3.862102,2,23,28,0.001502,0.001828,0.000131
紫微,霓裳,0.431833,3.862102,2,28,23,0.001828,0.001502,0.000131
南宫,明主,0.431486,3.859001,2,19,34,0.001241,0.002220,0.000131
北阙,衣冠,0.431486,3.859001,2,38,17,0.002481,0.001110,0.000131
乔木,逶迤,0.431272,4.156014,1,30,8,0.001959,0.000522,0.000065
尚书,日照,0.431141,3.855910,2,12,54,0.000783,0.003526,0.000131
夜长,月夜,0.430960,3.555577,4,35,50,0.002285,0.003265,0.000261
宁知,高台,0.430906,3.679090,3,20,58,0.001306,0.003787,0.000196
劝君,昆仑,0.430624,3.851291,2,21,31,0.001371,0.002024,0.000131
残月,马嘶,0.430089,3.199613,9,77,73,0.005027,0.004766,0.000588
玉楼,罗衣,0.429332,3.446338,5,61,40,0.003983,0.002612,0.000326
登高,黄花,0.429102,3.663692,3,31,38,0.002024,0.002481,0.000196
日夜,黄鹤,0.429089,3.837561,2,30,22,0.001959,0.001436,0.000131
凤凰,霓裳,0.428264,3.437768,5,107,23,0.006986,0.001502,0.000326
感激,青天,0.428112,3.655239,3,22,54,0.001436,0.003526,0.000196
霓裳,鹦鹉,0.427950,3.530745,4,23,78,0.001502,0.005093,0.000261
昆仑,逶迤,0.427869,4.123225,1,31,8,0.002024,0.000522,0.000065
尚书,相随,0.427074,3.819542,2,12,56,0.000783,0.003656,0.000131
北斗,花满,0.426935,3.645189,3,20,60,0.001306,0.003917,0.000196
意气,秋草,0.426576,3.815088,2,15,45,0.000979,0.002938,0.000131
前程,岐路,0.426355,3.422445,5,49,51,0.003199,0.003330,0.000326
尚书,自言,0.426209,4.107224,1,12,21,0.000783,0.001371,0.000065
万国,天下,0.426010,3.342003,6,26,125,0.001698,0.008161,0.000392
北斗,明主,0.425751,3.807708,2,20,34,0.001306,0.002220,0.000131
渭水,衣冠,0.425751,3.807708,2,40,17,0.002612,0.001110,0.000131
千秋,日照,0.425146,3.507603,4,34,54,0.002220,0.003526,0.000261
尚书,青楼,0.425095,3.801843,2,12,57,0.000783,0.003722,0.000131
尚书,白玉,0.425095,3.801843,2,12,57,0.000783,0.003722,0.000131
意气,日夕,0.424981,4.095390,1,15,17,0.000979,0.001110,0.000065
日夕,芳树,0.424981,4.095390,1,17,15,0.001110,0.000979,0.000065
昔时,逶迤,0.424574,4.091476,1,32,8,0.002089,0.000522,0.000065
归客,霓裳,0.424119,3.793109,2,30,23,0.001959,0.001502,0.000131
归客,桃源,0.424119,3.793109,2,30,23,0.001959,0.001502,0.000131
宫中,美人,0.424064,3.326735,6,30,110,0.001959,0.007182,0.000392
翡翠,芙蓉,0.423538,2.934529,15,71,172,0.004636,0.011230,0.000979
