词,出现次数,文档频次,文档概率
万里,287,280,0.054773
千里,217,214,0.041862
故人,191,182,0.035603
白云,162,158,0.030908
春风,161,146,0.028560
白日,153,142,0.027778
落日,146,145,0.028365
长安,144,133,0.026017
天地,142,134,0.026213
黄金,142,132,0.025822
风吹,137,137,0.026800
明月,135,128,0.025039
相思,133,123,0.024061
天子,122,121,0.023670
今日,121,119,0.023279
将军,118,105,0.020540
日暮,117,117,0.022887
洛阳,113,111,0.021714
秋风,112,109,0.021322
少年,105,98,0.019171
浮云,103,94,0.018388
主人,102,101,0.019757
悠悠,100,98,0.019171
回首,99,98,0.019171
相见,99,93,0.018192
风尘,97,96,0.018779
相逢,96,96,0.018779
青云,96,92,0.017997
天下,95,91,0.017801
十年,95,93,0.018192
归来,93,93,0.018192
青山,90,88,0.017214
江上,87,87,0.017019
平生,85,84,0.016432
桃李,84,73,0.014280
洞庭,83,79,0.015454
流水,82,78,0.015258
明主,80,80,0.015649
萧条,79,78,0.015258
人生,78,75,0.014671
寂寞,78,77,0.015063
行人,78,73,0.014280
南山,76,75,0.014671
白发,75,72,0.014085
别离,75,75,0.014671
春草,75,74,0.014476
君王,74,74,0.014476
夫子,73,72,0.014085
美人,73,65,0.012715
桃花,73,70,0.013693
携手,73,72,0.014085
惆怅,72,72,0.014085
清风,70,67,0.013106
闻道,69,69,0.013498
草木,69,66,0.012911
青天,67,59,0.011541
凤凰,65,62,0.012128
秋月,65,63,0.012324
茫茫,63,60,0.011737
芙蓉,63,54,0.010563
人间,62,61,0.011933
乾坤,62,62,0.012128
白马,61,58,0.011346
日月,61,61,0.011933
君子,61,56,0.010955
终日,61,61,0.011933
江海,61,61,0.011933
春色,60,59,0.011541
江湖,60,59,0.011541
江水,60,56,0.010955
颜色,59,59,0.011541
知己,59,57,0.011150
汉家,58,57,0.011150
天上,58,57,0.011150
裴回,58,58,0.011346
孤舟,58,58,0.011346
北风,57,55,0.010759
仙人,57,53,0.010368
水流,57,56,0.010955
萧萧,57,57,0.011150
登高,57,54,0.010563
沧海,57,55,0.010759
落花,57,55,0.010759
世人,57,56,0.010955
游子,57,57,0.011150
扁舟,57,57,0.011150
东山,57,55,0.010759
苍生,56,56,0.010955
昨夜,56,56,0.010955
至今,56,56,0.010955
空山,56,56,0.010955
相识,55,55,0.010759
白头,55,54,0.010563
沧洲,55,55,0.010759
万古,54,54,0.010563
古人,54,52,0.010172
白首,54,52,0.010172
文章,53,53,0.010368
关山,53,51,0.009977
故园,53,52,0.010172
黄河,52,48,0.009390
海上,52,52,0.010172
日夕,52,52,0.010172
故乡,52,51,0.009977
东流,52,48,0.009390
白雪,51,50,0.009781
江山,51,51,0.009977
出入,51,50,0.009781
离别,51,51,0.009977
可怜,50,48,0.009390
光辉,50,50,0.009781
衣冠,50,50,0.009781
年年,50,50,0.009781
苍茫,50,50,0.009781
花落,50,49,0.009585
杨柳,50,49,0.009585
沧浪,50,47,0.009194
夕阳,50,50,0.009781
得意,49,47,0.009194
壮士,49,49,0.009585
白玉,49,49,0.009585
始知,49,49,0.009585
