词1,词2,NPMI值,PMI值,共现文档数,词1文档频次,词2文档频次,词1概率,词2概率,联合概率
行路,路难,0.827198,4.337421,27,44,41,0.008607,0.008020,0.005282
叶落,黄叶,0.759892,5.265982,5,11,12,0.002152,0.002347,0.000978
多情,闻说,0.709762,5.568932,2,3,13,0.000587,0.002543,0.000391
南宫,牡丹,0.709005,6.054439,1,12,1,0.002347,0.000196,0.000196
御沟,朱门,0.684352,4.895202,4,9,17,0.001761,0.003326,0.000782
依稀,枕上,0.682874,5.831296,1,5,3,0.000978,0.000587,0.000196
今年,去年,0.670914,4.062009,12,33,32,0.006455,0.006260,0.002347
垂杨,多情,0.661396,5.189442,2,19,3,0.003717,0.000587,0.000391
君恩,多情,0.661396,5.189442,2,19,3,0.003717,0.000587,0.000391
翡翠,鸳鸯,0.660294,4.118099,10,26,32,0.005086,0.006260,0.001956
多情,有情,0.642711,5.042838,2,3,22,0.000587,0.004304,0.000391
向东,牡丹,0.627834,5.361292,1,24,1,0.004695,0.000196,0.000196
垂杨,红尘,0.624731,4.901760,2,19,4,0.003717,0.000782,0.000391
深处,溪水,0.623054,5.320470,1,1,25,0.000196,0.004890,0.000196
姓名,烟雨,0.616620,4.588102,3,13,12,0.002543,0.002347,0.000587
多情,大道,0.616610,4.838044,2,3,27,0.000587,0.005282,0.000391
山路,红叶,0.614041,5.243509,1,27,1,0.005282,0.000196,0.000196
东西,南北,0.613519,4.251630,5,28,13,0.005477,0.002543,0.000978
咫尺,多情,0.611975,4.801676,2,28,3,0.005477,0.000587,0.000391
菊花,重阳,0.606266,4.090830,6,27,19,0.005282,0.003717,0.001174
丞相,牡丹,0.605673,5.172050,1,29,1,0.005673,0.000196,0.000196
梨花,花飞,0.602839,4.067707,6,25,21,0.004890,0.004108,0.001174
梨花,玉楼,0.602382,4.308869,4,25,11,0.004890,0.002152,0.000782
交亲,年华,0.601703,5.138149,1,5,6,0.000978,0.001174,0.000196
万户,千门,0.598180,3.864183,8,26,33,0.005086,0.006455,0.001565
双飞,宛转,0.597388,4.445001,3,15,12,0.002934,0.002347,0.000587
玉楼,翡翠,0.596899,4.269649,4,11,26,0.002152,0.005086,0.000782
思量,莓苔,0.594145,5.073610,1,2,16,0.000391,0.003130,0.000196
路长,道路,0.591298,3.819732,8,23,39,0.004499,0.007629,0.001565
楼前,次第,0.590542,5.042838,1,11,3,0.002152,0.000587,0.000196
等闲,风光,0.590542,5.042838,1,3,11,0.000587,0.002152,0.000196
断肠,风飘,0.588074,3.968077,6,29,20,0.005673,0.003912,0.001174
两相,阑干,0.586630,4.364959,3,15,13,0.002934,0.002543,0.000587
万户,红尘,0.584755,4.588102,2,26,4,0.005086,0.000782,0.000391
月明,红叶,0.583651,4.983998,1,35,1,0.006847,0.000196,0.000196
花下,霓裳,0.583651,4.983998,1,5,7,0.000978,0.001369,0.000196
夜长,花下,0.583651,4.983998,1,7,5,0.001369,0.000978,0.000196
云雨,深处,0.580352,4.955827,1,36,1,0.007042,0.000196,0.000196
山川,深处,0.580352,4.955827,1,36,1,0.007042,0.000196,0.000196
山僧,思量,0.580352,4.955827,1,18,2,0.003521,0.000391,0.000196
名利,草绿,0.575310,4.513994,2,7,16,0.001369,0.003130,0.000391
洞庭,潇湘,0.572074,3.231629,18,79,46,0.015454,0.008998,0.003521
多情,行人,0.571031,4.248887,3,3,73,0.000587,0.014280,0.000587
相看,红叶,0.570979,4.875784,1,39,1,0.007629,0.000196,0.000196
岁寒,珍重,0.570979,4.875784,1,13,3,0.002543,0.000587,0.000196
珍重,看花,0.570979,4.875784,1,3,13,0.000587,0.002543,0.000196
梦魂,等闲,0.570979,4.875784,1,13,3,0.002543,0.000587,0.000196
登高,重阳,0.570498,3.685365,8,54,19,0.010563,0.003717,0.001565
多情,相看,0.569743,4.470319,2,3,39,0.000587,0.007629,0.000391
曲江,瑶池,0.569743,4.470319,2,9,13,0.001761,0.002543,0.000391
斜阳,鹧鸪,0.568014,4.850467,1,5,8,0.000978,0.001565,0.000196
到处,残月,0.568014,4.850467,1,5,8,0.000978,0.001565,0.000196
花前,花时,0.568014,4.850467,1,4,10,0.000782,0.001956,0.000196
君王,汉宫,0.567944,3.542134,10,74,20,0.014476,0.003912,0.001956
路傍,须臾,0.564729,4.039536,4,18,20,0.003521,0.003912,0.000782
罗衣,美人,0.564527,3.467017,11,27,65,0.005282,0.012715,0.002152
宫中,玉楼,0.563569,4.031238,4,33,11,0.006455,0.002152,0.000782
深处,蛟龙,0.562300,4.801676,1,1,42,0.000196,0.008216,0.000196
宫中,青楼,0.561693,3.790075,6,33,21,0.006455,0.004108,0.001174
名利,天外,0.560298,4.396211,2,7,18,0.001369,0.003521,0.000391
山僧,玲珑,0.560298,4.396211,2,18,7,0.003521,0.001369,0.000391
人皆,高台,0.559022,3.998714,4,25,15,0.004890,0.002934,0.000782
君家,红尘,0.558291,4.380463,2,32,4,0.006260,0.000782,0.000391
无限,汉宫,0.557170,3.985469,4,19,20,0.003717,0.003912,0.000782
游人,花前,0.556853,4.755156,1,11,4,0.002152,0.000782,0.000196
尘埃,思量,0.556853,4.755156,1,22,2,0.004304,0.000391,0.000196
姓名,物外,0.556315,4.364959,2,13,10,0.002543,0.001956,0.000391
登高,黄花,0.555005,3.585281,8,54,21,0.010563,0.004108,0.001565
无限,阑干,0.554861,4.128570,3,19,13,0.003717,0.002543,0.000587
多情,行路,0.554369,4.349691,2,3,44,0.000587,0.008607,0.000391
春深,杏花,0.554221,4.732684,1,9,5,0.001761,0.000978,0.000196
天寒,红叶,0.551647,4.710705,1,46,1,0.008998,0.000196,0.000196
向人,君心,0.550577,4.096695,3,15,17,0.002934,0.003326,0.000587
汉宫,阑干,0.547967,4.077277,3,20,13,0.003912,0.002543,0.000587
风月,风飘,0.546870,4.290851,2,7,20,0.001369,0.003912,0.000391
独自,高树,0.546663,4.668145,1,12,4,0.002347,0.000782,0.000196
故山,路岐,0.546663,4.668145,1,24,2,0.004695,0.000391,0.000196
多情,得意,0.545963,4.283733,2,3,47,0.000587,0.009194,0.000391
玉楼,紫微,0.545915,4.062009,3,11,24,0.002152,0.004695,0.000587
寥落,独行,0.545915,4.062009,3,24,11,0.004695,0.002152,0.000587
名利,霓裳,0.544248,4.647526,1,7,7,0.001369,0.001369,0.000196
夜长,霓裳,0.544248,4.647526,1,7,7,0.001369,0.001369,0.000196
绮罗,风光,0.544168,4.269649,2,13,11,0.002543,0.002152,0.000391
庭前,所以,0.541903,4.032156,3,17,16,0.003326,0.003130,0.000587
杏花,绿杨,0.541883,4.627323,1,5,10,0.000978,0.001956,0.000196
帝乡,路岐,0.541883,4.627323,1,25,2,0.004890,0.000391,0.000196
眼前,风光,0.540429,4.021187,3,25,11,0.004890,0.002152,0.000587
枕上,梦中,0.539564,4.607520,1,3,17,0.000587,0.003326,0.000196
珍重,细雨,0.539564,4.607520,1,3,17,0.000587,0.003326,0.000196
巫山,阳台,0.538695,3.479921,8,42,30,0.008216,0.005869,0.001565
双飞,西风,0.538077,4.221858,2,15,10,0.002934,0.001956,0.000391
双阙,阙下,0.538077,4.221858,2,15,10,0.002934,0.001956,0.000391
月夜,玉树,0.538007,4.003169,3,14,20,0.002739,0.003912,0.000587
尘埃,裴回,0.536742,3.467302,8,22,58,0.004304,0.011346,0.001565
两相,无限,0.535629,3.985469,3,15,19,0.002934,0.003717,0.000587
夜长,有情,0.534723,4.195541,2,7,22,0.001369,0.004304,0.000391
月夜,玉楼,0.534723,4.195541,2,14,11,0.002739,0.002152,0.000391
秋草,高台,0.534360,3.703064,5,42,15,0.008216,0.002934,0.000978
多情,百花,0.532870,4.550362,1,3,18,0.000587,0.003521,0.000196
枕上,碧云,0.532870,4.550362,1,3,18,0.000587,0.003521,0.000196
微风,枕上,0.532870,4.550362,1,18,3,0.003521,0.000587,0.000196
