社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
0,昔时,24,50,14.0,95.42857142857143,1
0,宫中,24,37,32.3,54.959752321981426,2
0,玉楼,22,41,20.0,72.0,3
0,承恩,22,37,28.5,57.08771929824562,4
0,未央,19,34,38.9,44.70694087403599,5
0,高台,17,33,44.6,39.42152466367713,6
0,君王,15,24,79.0,27.658227848101266,7
0,阑干,15,21,106.9,24.354536950420954,8
0,双阙,14,22,82.0,26.195121951219512,9
0,九重,13,34,34.3,42.15451895043732,10
0,梨花,13,24,62.2,29.077170418006432,11
0,霓裳,13,22,84.8,24.79245283018868,12
0,窈窕,12,30,48.3,32.70393374741201,13
0,太平,12,30,50.3,31.880715705765407,14
0,宛转,12,21,103.9,21.624639076034647,15
0,九衢,12,19,123.8,20.077544426494345,16
0,飘飖,11,27,61.1,27.366612111292962,17
0,路傍,11,25,67.9,25.727540500736374,18
0,行乐,11,26,69.5,25.388489208633093,19
0,歌舞,11,23,102.8,20.72762645914397,20
0,宫殿,11,20,118.7,19.424599831508004,21
0,咸阳,11,17,166.4,17.009615384615383,22
0,万国,10,26,53.3,28.76172607879925,23
0,红粉,10,22,116.2,18.605851979345957,24
0,芙蓉,10,13,221.0,14.524886877828054,25
0,玉堂,9,22,89.8,20.1358574610245,26
0,蛾眉,9,23,103.8,18.633911368015415,27
0,从军,9,17,108.4,18.225092250922508,28
0,汉家,9,15,113.3,17.8261253309797,29
0,弟子,9,18,141.3,16.077140835102618,30
0,春雨,9,12,214.4,13.664179104477611,31
0,自言,8,22,77.8,20.853470437017997,32
0,罗衣,8,20,110.1,17.082652134423252,33
0,欢娱,8,14,173.1,13.777007510109764,34
0,万户,7,13,193.0,12.181347150259068,35
0,忆昔,7,14,199.9,12.002501250625311,36
0,金陵,7,13,220.2,11.541326067211626,37
0,无力,7,12,230.6,11.336513443191674,38
0,苍苔,7,9,274.8,10.639010189228529,39
0,百花,7,10,277.4,10.604902667627975,40
0,秋雨,7,10,311.1,10.214400514304081,41
0,感激,6,16,162.2,12.165228113440197,42
0,鸳鸯,6,17,165.8,12.031363088057901,43
0,君心,6,13,203.6,10.911591355599214,44
0,渭水,6,11,234.8,10.25894378194208,45
0,衣裳,6,10,278.1,9.595828838547284,46
0,夜长,6,9,292.1,9.423485107839781,47
0,管弦,6,10,293.8,9.40367597004765,48
0,寒食,6,9,321.6,9.109452736318408,49
0,风飘,5,11,178.0,10.617977528089888,50
0,依稀,5,11,224.2,9.460303300624442,51
0,八月,5,12,239.1,9.182350480970307,52
0,玲珑,5,10,254.8,8.924646781789638,53
0,柳色,5,11,262.8,8.80517503805175,54
0,君恩,5,11,275.4,8.631082062454611,55
0,台上,5,8,343.4,7.9120559114735,56
0,今年,5,8,350.6,7.852253280091272,57
0,千门,5,8,351.1,7.848191398461976,58
0,碧云,5,5,353.3,7.8304557033682425,59
0,百尺,5,7,361.8,7.763957987838585,60
0,十里,5,6,398.9,7.506893958385561,61
0,山河,4,14,152.5,10.557377049180328,62
0,天子,4,11,202.4,8.940711462450594,63
0,天下,4,10,222.0,8.504504504504505,64
0,风动,4,11,289.0,7.460207612456747,65
0,松柏,4,7,391.0,6.557544757033249,66
0,月夜,4,5,395.5,6.528445006321112,67
0,凤凰,4,6,407.1,6.456398919184475,68
0,去年,4,5,425.3,6.351281448389372,69
0,古人,4,4,446.6,6.239140170174653,70
0,万事,3,9,257.5,6.883495145631068,71
0,梦里,3,7,288.3,6.4686090877558104,72
0,仙人,3,8,300.5,6.327787021630616,73
0,东流,3,9,302.4,6.306878306878307,74
0,海上,3,8,307.1,6.25626831650928,75
0,含情,3,8,309.4,6.232062055591467,76
0,阳城,3,7,334.9,5.985965959988056,77
0,笙歌,3,5,399.0,5.5062656641604,78
0,裴回,3,5,408.8,5.446183953033268,79
0,鸡鸣,3,5,426.0,5.347417840375587,80
0,徘徊,3,4,463.5,5.1574973031283715,81
0,花前,3,4,481.6,5.076411960132891,82
0,月满,3,4,481.6,5.076411960132891,83
0,今夜,3,4,496.2,5.015316404675534,84
0,黄叶,3,4,504.9,4.980590215884334,85
0,依旧,3,3,525.1,4.904399162064369,86
0,向东,2,6,358.5,4.789400278940028,87
0,君家,2,5,375.9,4.660281989890929,88
0,老去,2,5,410.0,4.439024390243903,89
0,池塘,2,5,416.7,4.399808015358771,90
0,佳期,2,5,424.9,4.353494939985879,91
0,阳春,2,4,467.1,4.140869192892314,92
0,月下,2,4,477.5,4.094240837696335,93
