phrase,community
万户,0
千门,0
翡翠,1
鸳鸯,0
含情,0
皎然,7
东西,3
南北,3
乾坤,4
昆仑,4
今年,0
去年,0
山色,5
水声,5
圣主,6
苍生,6
中原,4
自言,0
英雄,7
路难,7
白玉,4
黄金,4
清秋,7
宫中,0
歌舞,0
星辰,4
鬼神,4
北斗,6
梦魂,6
君王,0
巫峡,8
猿啼,8
瑶池,4
东南,7
大道,4
自然,4
美人,1
青楼,1
九重,0
玉楼,0
昔时,0
蛟龙,4
弟子,0
承恩,0
巫山,8
阳台,8
清净,5
莲花,5
垂杨,1
潇湘,6
迢递,7
月落,8
君心,0
高台,0
云雨,1
红粉,0
九衢,0
双阙,0
日月,4
暮雨,8
未央,0
紫微,4
路傍,0
道士,4
干戈,3
残阳,3
世上,4
汀洲,8
白蘋,4
封侯,3
窈窕,0
行路,7
雨雪,3
秋雨,0
云飞,4
千秋,8
汉宫,8
太平,0
楼前,1
霓裳,0
造化,4
丹青,8
当年,4
帝乡,4
君恩,0
叹息,1
颜色,1
所以,4
生死,4
山川,1
万物,4
梧桐,1
圣人,4
朝廷,2
羽翼,7
独自,1
梨花,0
飘飖,0
他乡,8
兄弟,8
微雨,2
日斜,1
鹦鹉,1
神仙,4
山河,0
宛转,0
绿水,8
男儿,1
昔年,8
绮罗,8
关山,3
单于,3
苍茫,1
鹧鸪,1
秋来,6
雨后,6
明主,3
诸侯,4
寒食,0
婵娟,8
江山,1
风月,1
苦辛,7
向人,7
金谷,1
咫尺,4
两相,3
相访,4
意气,1
君家,0
消息,4
阑干,0
东海,7
富贵,7
往事,4
红叶,5
万年,4
玉堂,0
物外,4
子孙,4
桃源,4
青松,8
天下,0
丹砂,4
肠断,6
洞庭,8
湘水,8
山高,4
饮酒,4
钓鱼,7
骑马,1
苍苔,0
闻说,4
古来,7
宫殿,0
御沟,1
白日,7
罗衣,0
千古,4
劝君,4
九天,4
龙门,7
柳色,0
佳人,6
月光,6
渭水,0
将军,3
关河,8
蹉跎,8
今已,7
楼上,1
晚来,5
高秋,5
萧索,1
天上,4
清明,1
多少,1
须臾,1
忆昔,0
无力,0
有情,8
世人,4
读书,7
闭门,7
得意,1
杜陵,8
青门,1
骨肉,4
功成,4
吾道,8
衣冠,8
愁人,6
夜长,0
双飞,5
风动,0
蓬莱,4
日照,1
清晨,6
武陵,3
微风,5
细雨,5
走马,3
北阙,2
南宫,2
十里,0
