phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
中原,125,0.19685039370078738,0.09601082987654934,1.493920537425562,0.28311183706461424,0.0150383946588088,13,0.000918,1.0,1.0,1.0,1.0,1.0,1.0
梦魂,88,0.13858267716535433,0.06013810576517052,1.4112157856899885,0.19259039477163012,0.010502078979354018,23,0.001623,2.0,2.0,2.0,4.0,2.0,2.4
瑶池,71,0.11181102362204724,0.03863235549814948,1.367437332382062,0.2117126111832145,0.008516230326785152,20,0.001412,3.0,3.0,3.0,2.0,3.0,2.8
消息,58,0.09133858267716535,0.03380941735595353,1.3593321701659962,0.18417282592963108,0.006579993346050392,52,0.003671,5.0,5.0,4.0,6.0,5.0,5.0
乾坤,54,0.08503937007874016,0.020956804689634616,1.3302230971622078,0.20133452612424552,0.0060753737035098765,49,0.003459,6.0,8.0,6.0,3.0,7.0,6.0
云飞,52,0.08188976377952756,0.02240492809061328,1.31108315785466,0.16436853868819953,0.005948231353928453,32,0.002259,7.0,7.0,7.0,8.0,8.0,7.4
青楼,63,0.09921259842519685,0.036044114359522095,1.331585842554997,0.07582840235333659,0.00786888213393596,37,0.002612,4.0,4.0,5.0,40.0,4.0,11.4
鬼神,46,0.07244094488188976,0.01502521175389354,1.2865858725317822,0.1511401531329889,0.005141715928220234,36,0.002541,11.0,15.0,10.0,10.0,12.0,11.6
生死,49,0.07716535433070866,0.014770196312211763,1.307044944876985,0.12118779772587054,0.005518515356479764,59,0.004165,9.5,16.0,9.0,15.0,10.0,11.9
男儿,43,0.06771653543307087,0.019384485456668075,1.2814485691585422,0.11365910237049678,0.005070778028864904,39,0.002753,12.5,10.0,11.0,19.0,13.0,13.1
昔时,50,0.07874015748031496,0.03203258898631362,1.3074837037753473,0.07370688051060133,0.006261877146721169,22,0.001553,8.0,6.0,8.0,42.0,6.0,14.0
等闲,38,0.05984251968503937,0.01866166571449862,1.2657761555998097,0.10332142650130526,0.004422664573860571,61,0.004306,21.5,11.0,18.0,21.0,23.0,18.9
干戈,40,0.06299212598425197,0.014660076007849177,1.2686371944039299,0.0842533947782349,0.004916630425027997,25,0.001765,18.5,17.0,15.0,33.0,15.0,19.7
蛟龙,40,0.06299212598425197,0.011378822126729428,1.265800514391827,0.1483638666844618,0.00462489701865057,34,0.0024,18.5,34.0,17.0,11.0,18.0,19.7
玉楼,41,0.06456692913385827,0.016930375816587594,1.242868618043599,0.08222166451896512,0.005301885628415488,24,0.001694,15.0,12.0,27.0,35.0,11.0,20.0
丹砂,41,0.06456692913385827,0.009731985394570158,1.2680867664825488,0.15456243264050348,0.004621099267372,35,0.002471,15.0,45.0,16.0,9.0,19.0,20.8
昆仑,49,0.07716535433070866,0.007581741556753356,1.2774964693669133,0.1887069598268503,0.0055318566978747406,33,0.002329,9.5,74.0,12.0,5.0,9.0,21.9
九天,36,0.05669291338582677,0.011761345289252092,1.2705849010533508,0.12083024270371219,0.004186778153519994,34,0.0024,25.0,30.0,14.0,16.0,28.0,22.6
功成,41,0.06456692913385827,0.008322362701507737,1.275605382527598,0.14459025975528947,0.004418277602135193,46,0.003247,15.0,61.0,13.0,13.0,24.0,25.2
出入,34,0.05354330708661417,0.012995851859211604,1.2608127700263847,0.09685301237027256,0.003978352481343541,38,0.002682,28.5,21.5,20.0,27.0,33.0,26.0
翡翠,40,0.06299212598425197,0.015677653857936527,1.2314358739125635,0.058911102403532895,0.0050139840868607885,40,0.002823,18.5,14.0,32.0,55.0,14.0,26.7
道士,43,0.06771653543307087,0.007438088377754042,1.2607993995942215,0.17308289922311007,0.00469366599163831,41,0.002894,12.5,78.0,21.0,7.0,17.0,27.1
承恩,37,0.05826771653543307,0.012841849027546632,1.255799144486734,0.06101475716279947,0.004518892877745246,31,0.002188,23.5,23.0,22.0,53.0,21.0,28.5
咫尺,34,0.05354330708661417,0.0101393477234904,1.2653784784292883,0.1050731126227891,0.0038457973281811435,44,0.003106,28.5,41.0,19.0,20.0,37.0,29.1
宫中,37,0.05826771653543307,0.00874835440522616,1.2453573103983258,0.08130153097767676,0.004546355560549001,47,0.003318,23.5,55.0,25.0,38.0,20.0,32.3
北斗,40,0.06299212598425197,0.010087185474055491,1.2040622588017982,0.07726711839201009,0.004785890970427504,27,0.001906,18.5,42.0,52.0,39.0,16.0,33.5
九重,34,0.05354330708661417,0.008723515238828585,1.2422290090181463,0.10015155645331308,0.003976595629974437,60,0.004235,28.5,56.0,28.0,25.0,34.0,34.3
所以,34,0.05354330708661417,0.012757395861794878,1.200371359738219,0.07132435276600169,0.004248349973493877,42,0.002965,28.5,25.0,55.0,45.0,27.0,36.1
饮酒,31,0.048818897637795275,0.008867582403934524,1.2220874175334449,0.10115464511433443,0.0038770992921190067,55,0.003882,35.5,54.0,39.0,22.0,36.0,37.3
千古,28,0.04409448818897638,0.012305323033359,1.2321520065298546,0.08300457176259494,0.0034037062767095015,33,0.002329,46.0,28.0,31.0,34.0,48.0,37.4
英雄,34,0.05354330708661417,0.011555180208152214,1.2047149157216448,0.05716253555129201,0.0044665347557959366,16,0.001129,28.5,33.0,51.0,57.0,22.0,38.3
未央,34,0.05354330708661417,0.009373473426231816,1.2288171183490062,0.05826367359923559,0.004185107865966422,39,0.002753,28.5,47.0,34.0,56.0,29.0,38.9
万物,30,0.047244094488188976,0.009221126538993351,1.2312709533231114,0.09614346984079535,0.0033839221661014283,51,0.0036,39.5,48.0,33.0,28.0,49.0,39.5
物外,30,0.047244094488188976,0.010725552050473186,1.1943155208007021,0.09521372047259556,0.003748296610235751,27,0.001906,39.5,36.0,59.0,29.0,39.0,40.5
大道,29,0.04566929133858268,0.007767207332521921,1.2362427186934346,0.10016491623990997,0.003359471024642954,31,0.002188,43.5,71.0,29.0,24.0,51.0,43.7
高台,33,0.05196850393700787,0.012558682530614273,1.2020479140766005,0.04371481582353777,0.0043719563749267535,27,0.001906,32.0,26.0,53.0,87.0,25.0,44.6
神仙,38,0.05984251968503937,0.004595245783551504,1.2465211337342526,0.1474638085534298,0.004158794085465549,80,0.005647,21.5,142.0,24.0,12.0,30.0,45.9
星辰,32,0.050393700787401574,0.006110434933803622,1.2263127031500451,0.11652527582641829,0.003715302037727715,37,0.002612,33.0,107.0,36.0,18.0,41.0,47.0
多少,29,0.04566929133858268,0.016133038575225415,1.2233254723594378,0.03828525309555513,0.0037237295694381,33,0.002329,43.5,13.0,37.0,106.0,40.0,47.9
山高,25,0.03937007874015748,0.013305099480861423,1.2169996296200576,0.054376566510609264,0.003209505500987976,31,0.002188,58.5,19.0,44.0,61.0,57.0,47.9
窈窕,30,0.047244094488188976,0.007501428252067861,1.2449141385463338,0.05563330207913433,0.003504095667878856,18,0.001271,39.5,75.0,26.0,58.0,43.0,48.3
太平,30,0.047244094488188976,0.007668678639144871,1.2120438958092863,0.06643362206955968,0.003638481525322852,39,0.002753,39.5,73.0,47.0,50.0,42.0,50.3
人世,25,0.03937007874015748,0.009558111229787128,1.213801864599607,0.06902387556287658,0.0030057813175939346,38,0.002682,58.5,46.0,46.0,49.0,64.0,52.7
圣人,31,0.048818897637795275,0.010184058223006037,1.1666824435204344,0.05162607044015636,0.004120200590635903,28,0.001976,35.5,40.0,91.0,67.0,32.0,53.1
万国,26,0.04094488188976378,0.01156884174967088,1.1968166260936408,0.04558093630287184,0.0034521288129174656,31,0.002188,52.5,32.0,57.0,80.0,45.0,53.3
阳台,31,0.048818897637795275,0.012794654611391242,1.1759810946834661,0.0386087041372704,0.004332582369290773,27,0.001906,35.5,24.0,81.0,105.0,26.0,54.3
寻常,27,0.04251968503937008,0.00665110078905752,1.2269397471550008,0.09788475669643965,0.002894498456160754,59,0.004165,48.5,91.0,35.0,26.0,73.0,54.7
自然,31,0.048818897637795275,0.004023944956407263,1.2336306058010602,0.134338969655531,0.0034180803527393976,60,0.004235,35.5,167.5,30.0,14.0,46.0,58.6
劝君,29,0.04566929133858268,0.004009041456568717,1.2465745529999104,0.12024830069976902,0.0032678214463290347,59,0.004165,43.5,169.0,23.0,17.0,52.0,60.9
飘飖,27,0.04251968503937008,0.006311632181623984,1.2067515036665348,0.06346136360646516,0.0032069449760691224,40,0.002823,48.5,99.0,49.0,51.0,58.0,61.1
汉宫,25,0.03937007874015748,0.008209344494398767,1.2011265644103677,0.046188115153491124,0.003254429246698225,28,0.001976,58.5,64.0,54.0,77.0,53.0,61.3
