词1,词2,NPMI值,PMI值,共现文档数,词1文档频次,词2文档频次,词1概率,词2概率,联合概率
夜深,近来,1.0,7.743703,1,1,1,0.000433,0.000433,0.000433
出入,扁舟,0.910489,7.050556,1,2,1,0.000867,0.000433,0.000433
世人,扁舟,0.910489,7.050556,1,2,1,0.000867,0.000433,0.000433
感激,扁舟,0.910489,7.050556,1,2,1,0.000867,0.000433,0.000433
扁舟,楚水,0.910489,7.050556,1,1,2,0.000433,0.000867,0.000433
到处,当年,0.910489,7.050556,1,1,2,0.000433,0.000867,0.000433
微雨,愁人,0.858128,6.645091,1,1,3,0.000433,0.0013,0.000433
依稀,猿声,0.858128,6.645091,1,1,3,0.000433,0.0013,0.000433
他人,扁舟,0.858128,6.645091,1,3,1,0.0013,0.000433,0.000433
所思,扁舟,0.858128,6.645091,1,3,1,0.0013,0.000433,0.000433
归客,苍茫,0.858128,6.645091,1,1,3,0.000433,0.0013,0.000433
归客,白蘋,0.858128,6.645091,1,1,3,0.000433,0.0013,0.000433
新诗,老人,0.858128,6.645091,1,3,1,0.0013,0.000433,0.000433
宫中,自由,0.858128,6.645091,1,3,1,0.0013,0.000433,0.000433
他人,满眼,0.858128,6.645091,1,3,1,0.0013,0.000433,0.000433
楚水,青苔,0.844181,5.951944,2,2,6,0.000867,0.002601,0.000867
八月,凉风,0.834673,5.546479,3,3,9,0.0013,0.003901,0.0013
扬州,路岐,0.822317,5.797793,2,2,7,0.000867,0.003034,0.000867
扬州,花枝,0.822317,5.797793,2,2,7,0.000867,0.003034,0.000867
回头,家贫,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
九天,千古,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
世间,雨后,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
往事,远山,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
多情,来往,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
扁舟,清净,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
世人,出入,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
出入,感激,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
出入,楚水,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
世人,感激,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
世人,楚水,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
感激,楚水,0.820978,6.357409,1,2,2,0.000867,0.000867,0.000433
扁舟,诸侯,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
扁舟,玉堂,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
乾坤,苍苔,0.820978,6.357409,1,4,1,0.001734,0.000433,0.000433
杜陵,近来,0.820978,6.357409,1,4,1,0.001734,0.000433,0.000433
夜深,杜陵,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
到处,逢人,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
眼前,道士,0.820978,6.357409,1,1,4,0.000433,0.001734,0.000433
颜色,黄昏,0.809105,5.37658,3,8,4,0.003468,0.001734,0.0013
须臾,黄昏,0.809105,5.37658,3,8,4,0.003468,0.001734,0.0013
月色,相对,0.803378,5.664262,2,4,4,0.001734,0.001734,0.000867
对酒,微雨,0.792162,6.134265,1,5,1,0.002167,0.000433,0.000433
十里,红叶,0.792162,6.134265,1,5,1,0.002167,0.000433,0.000433
梦魂,潇湘,0.792162,6.134265,1,1,5,0.000433,0.002167,0.000433
得意,扁舟,0.792162,6.134265,1,5,1,0.002167,0.000433,0.000433
扁舟,自古,0.792162,6.134265,1,1,5,0.000433,0.002167,0.000433
扁舟,衣裳,0.792162,6.134265,1,1,5,0.000433,0.002167,0.000433
王孙,黄昏,0.791381,5.258797,3,9,4,0.003901,0.001734,0.0013
公子,须臾,0.787481,4.565649,7,21,8,0.009103,0.003468,0.003034
须臾,颜色,0.78194,4.971115,4,8,8,0.003468,0.003468,0.001734
花前,黄昏,0.775525,5.153436,3,10,4,0.004335,0.001734,0.0013
古人,黄昏,0.775525,5.153436,3,10,4,0.004335,0.001734,0.0013
无力,看花,0.771729,5.441118,2,5,4,0.002167,0.001734,0.000867
使君,看花,0.771729,5.441118,2,5,4,0.002167,0.001734,0.000867
所以,独立,0.768617,5.951944,1,3,2,0.0013,0.000867,0.000433
东风,青冥,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
孤舟,往事,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
多情,消息,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
来往,消息,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
人情,君家,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
人情,怜君,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
扁舟,青苔,0.768617,5.951944,1,1,6,0.000433,0.002601,0.000433
他人,出入,0.768617,5.951944,1,3,2,0.0013,0.000867,0.000433
出入,所思,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
世人,他人,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
世人,所思,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
他人,感激,0.768617,5.951944,1,3,2,0.0013,0.000867,0.000433
感激,所思,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
忆昔,扁舟,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
他人,楚水,0.768617,5.951944,1,3,2,0.0013,0.000867,0.000433
所思,楚水,0.768617,5.951944,1,3,2,0.0013,0.000867,0.000433
扁舟,茫茫,0.768617,5.951944,1,1,6,0.000433,0.002601,0.000433
咫尺,是非,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
夜来,雨后,0.768617,5.951944,1,3,2,0.0013,0.000867,0.000433
台上,遥知,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
圣朝,草色,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
天台,闭门,0.768617,5.951944,1,6,1,0.002601,0.000433,0.000433
独自,阑干,0.768617,5.951944,1,3,2,0.0013,0.000867,0.000433
满眼,还家,0.768617,5.951944,1,1,6,0.000433,0.002601,0.000433
半夜,多情,0.768617,5.951944,1,3,2,0.0013,0.000867,0.000433
吾道,送客,0.768617,5.951944,1,1,6,0.000433,0.002601,0.000433
月出,石上,0.768617,5.951944,1,2,3,0.000867,0.0013,0.000433
婵娟,忆昔,0.768183,5.104646,3,7,6,0.003034,0.002601,0.0013
无情,汉宫,0.768183,5.104646,3,6,7,0.002601,0.003034,0.0013
松柏,黄昏,0.761182,5.058126,3,11,4,0.004768,0.001734,0.0013
阳城,黄昏,0.761182,5.058126,3,11,4,0.004768,0.001734,0.0013
九衢,车马,0.7578,5.035653,3,5,9,0.002167,0.003901,0.0013
咸阳,天寒,0.748711,5.797793,1,7,1,0.003034,0.000433,0.000433
梦魂,潺湲,0.748711,5.797793,1,1,7,0.000433,0.003034,0.000433
丞相,扁舟,0.748711,5.797793,1,7,1,0.003034,0.000433,0.000433
扁舟,骨肉,0.748711,5.797793,1,1,7,0.000433,0.003034,0.000433
咸阳,扁舟,0.748711,5.797793,1,7,1,0.003034,0.000433,0.000433
珍重,罗衣,0.748711,5.797793,1,1,7,0.000433,0.003034,0.000433
庭前,珍重,0.748711,5.797793,1,7,1,0.003034,0.000433,0.000433
闭门,风波,0.748711,5.797793,1,1,7,0.000433,0.003034,0.000433
江流,闭门,0.748711,5.797793,1,7,1,0.003034,0.000433,0.000433
功名,满眼,0.748711,5.797793,1,7,1,0.003034,0.000433,0.000433
吾道,帝城,0.748711,5.797793,1,1,7,0.000433,0.003034,0.000433
路岐,近来,0.748711,5.797793,1,7,1,0.003034,0.000433,0.000433
夜深,路岐,0.748711,5.797793,1,1,7,0.000433,0.003034,0.000433
行乐,黄昏,0.748088,4.971115,3,12,4,0.005202,0.001734,0.0013
玉堂,翡翠,0.748088,4.971115,3,4,12,0.001734,0.005202,0.0013
苍生,谢公,0.74587,5.258797,2,6,4,0.002601,0.001734,0.000867
游子,飞鸟,0.74587,5.258797,2,12,2,0.005202,0.000867,0.000867
九衢,经过,0.741945,4.930293,3,5,10,0.002167,0.004335,0.0013
使君,无力,0.74008,5.217975,2,5,5,0.002167,0.002167,0.000867
十里,水流,0.74008,5.217975,2,5,5,0.002167,0.002167,0.000867
家贫,逢人,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
微雨,思归,0.731467,5.664262,1,1,8,0.000433,0.003468,0.000433
昨日,秋天,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
万古,青冥,0.731467,5.664262,1,8,1,0.003468,0.000433,0.000433
君心,题诗,0.731467,5.664262,1,8,1,0.003468,0.000433,0.000433
从军,孤云,0.731467,5.664262,1,4,2,0.001734,0.000867,0.000433
读书,鬼神,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
秋天,飞鸟,0.731467,5.664262,1,4,2,0.001734,0.000867,0.000433
扁舟,颜色,0.731467,5.664262,1,1,8,0.000433,0.003468,0.000433
出入,清净,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
世人,清净,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
感激,清净,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
楚水,清净,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
出入,诸侯,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
出入,玉堂,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
世人,诸侯,0.731467,5.664262,1,2,4,0.000867,0.001734,0.000433
