社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
0,生死,11,37,237.8,15.205214465937763,1
0,干戈,11,32,257.9,14.87747188832881,2
0,相送,11,39,261.6,14.82262996941896,3
0,朝廷,10,52,199.7,15.007511266900352,4
0,故人,10,36,268.9,13.718854592785423,5
0,清风,10,34,294.4,13.396739130434783,6
0,人家,9,24,368.6,11.712967986977754,7
0,归来,8,51,187.8,13.324813631522897,8
0,江海,8,38,261.3,11.827018752391886,9
0,白雪,8,32,308.1,11.245699448231093,10
0,相看,8,33,309.3,11.233107015842224,11
0,姓名,8,29,361.4,10.767017155506364,12
0,先生,8,23,415.5,10.406738868832733,13
0,文章,7,33,300.9,10.323363243602525,14
0,风烟,7,28,328.9,10.040437823046519,15
0,太守,7,31,332.9,10.00390507659958,16
0,东西,7,27,369.1,9.70929287455974,17
0,路岐,7,16,398.9,9.506893958385561,18
0,弟子,7,20,443.0,9.257336343115124,19
0,古木,6,32,308.5,9.241491085899513,20
0,南北,6,29,339.3,8.94724432655467,21
0,白蘋,6,28,383.6,8.606882168925964,22
0,花枝,6,14,419.3,8.384927259718578,23
0,乾坤,5,26,387.7,7.5793139025019345,24
0,青山,5,22,388.8,7.572016460905349,25
0,苍梧,5,21,399.9,7.500625156289072,26
0,苍茫,5,22,411.2,7.4319066147859925,27
0,旧游,5,19,416.3,7.402113860196973,28
0,日斜,5,17,416.3,7.402113860196973,29
0,山僧,5,16,454.3,7.201188641866608,30
0,凄凉,5,17,455.4,7.195871761089153,31
0,雨露,4,20,419.7,6.382654276864427,32
0,可惜,4,16,471.3,6.121790791427966,33
0,鸡鸣,4,13,478.6,6.089427496865859,34
0,十里,4,10,507.0,5.9723865877712035,35
0,深山,4,9,533.8,5.87336080929187,36
0,归客,4,8,558.5,5.790510295434199,37
0,夜深,4,5,584.4,5.711156741957563,38
0,近来,4,5,584.4,5.711156741957563,39
0,日落,3,25,351.9,5.8417163967036085,40
0,往来,3,9,529.5,4.888574126534467,41
0,秋日,3,8,538.9,4.85563184264242,42
0,苍苔,3,8,550.7,4.815870710005448,43
0,鹧鸪,2,11,507.3,3.9712201852946976,44
0,功成,2,9,512.7,3.9504583577140626,45
0,半夜,2,5,577.3,3.7322016282695305,46
0,扬州,2,2,612.5,3.63265306122449,47
0,行客,1,3,595.6,2.6789791806581595,48
0,红叶,1,2,607.5,2.646090534979424,49
1,所思,71,82,169.2,76.91016548463357,1
1,出入,71,81,174.3,76.7372346528973,2
1,世人,71,81,175.7,76.69151963574274,3
1,楚水,71,81,179.2,76.58035714285714,4
1,感激,71,79,182.8,76.47045951859957,5
1,扁舟,71,79,229.6,75.35540069686411,6
1,衣裳,69,110,64.6,84.47987616099071,7
1,玉堂,69,115,80.0,81.5,8
1,诸侯,69,102,87.5,80.42857142857143,9
1,清净,69,82,135.4,76.38552437223044,10
1,他人,69,84,154.1,75.48929266709929,11
1,忆昔,67,111,55.7,84.95332136445242,12
1,单于,67,93,85.4,78.7096018735363,13
1,青苔,67,90,94.5,77.58201058201058,14
1,得意,67,102,105.1,76.51474785918174,15
1,颜色,66,132,38.6,91.90673575129534,16
1,须臾,66,160,56.8,83.6056338028169,17
1,茫茫,66,103,61.0,82.39344262295081,18
1,咸阳,66,84,95.9,76.42752867570385,19
1,骨肉,66,85,120.8,74.27814569536424,20
1,自古,66,82,124.2,74.05152979066023,21
1,昆仑,64,85,89.0,75.23595505617978,22
