phrase,community
夜深,0
近来,0
出入,1
扁舟,1
世人,1
感激,1
楚水,1
到处,2
当年,2
微雨,3
愁人,3
依稀,2
猿声,4
他人,1
所思,1
归客,0
苍茫,0
白蘋,0
新诗,7
老人,7
宫中,7
自由,7
满眼,2
青苔,1
八月,3
凉风,3
扬州,0
路岐,0
花枝,0
回头,2
家贫,2
九天,2
千古,2
世间,7
雨后,7
往事,7
远山,7
多情,7
来往,7
清净,1
诸侯,1
玉堂,1
乾坤,0
苍苔,0
杜陵,7
逢人,2
眼前,5
道士,4
颜色,1
黄昏,5
须臾,1
月色,6
相对,6
对酒,2
十里,0
红叶,0
梦魂,1
潇湘,2
得意,1
自古,1
衣裳,1
王孙,5
公子,5
花前,5
古人,5
无力,7
看花,7
使君,4
所以,2
独立,2
东风,6
青冥,6
孤舟,7
消息,7
人情,2
君家,2
怜君,2
忆昔,1
茫茫,1
咫尺,4
是非,4
夜来,7
台上,7
遥知,7
圣朝,3
草色,3
天台,2
闭门,2
独自,2
阑干,2
还家,7
半夜,0
吾道,2
送客,2
月出,3
石上,3
婵娟,2
无情,3
汉宫,3
松柏,5
阳城,5
九衢,4
车马,4
咸阳,1
天寒,2
潺湲,6
丞相,1
骨肉,1
珍重,6
罗衣,6
庭前,6
风波,2
江流,2
功名,2
帝城,2
行乐,5
翡翠,1
苍生,3
谢公,3
游子,1
飞鸟,7
经过,4
水流,2
思归,2
昨日,5
秋天,7
万古,6
君心,7
题诗,7
从军,2
孤云,7
读书,2
鬼神,2
万物,1
单于,1
昆仑,1
蹉跎,1
相忆,3
城中,2
子孙,4
山僧,0
清秋,2
公卿,6
姓名,0
日晚,1
千万,6
烟波,2
少年,5
今年,5
水声,3
马蹄,3
池上,6
中原,2
有情,7
先生,0
弟子,0
明日,3
杯酒,3
江城,2
英雄,2
渭水,2
心期,4
他日,2
池塘,2
才子,4
楚客,7
沧浪,7
怅望,1
寂寥,7
星辰,7
春水,7
自知,3
雨露,0
干戈,0
红尘,4
归去,6
松风,3
萧索,3
朱门,4
自言,4
水边,5
叶落,4
蛟龙,6
古木,0
深山,0
玲珑,6
行路,2
路难,2
夜长,2
歌声,7
朝廷,0
白头,5
明年,5
旧游,0
东西,0
梧桐,2
东方,7
殷勤,7
旌旗,2
雨中,2
去年,7
残月,7
浮生,3
青天,3
猿啼,2
封侯,1
昔日,1
萧条,1
湘水,1
老去,7
沧海,2
文章,0
北风,7
相逢,7
不归,1
山头,3
北阙,4
南宫,4
阙下,6
相识,5
青楼,7
高楼,2
白玉,1
天涯,4
日斜,0
日照,7
满地,7
大道,7
佳期,4
绿水,2
分明,2
清风,0
丈夫,4
凄凉,0
生死,0
桃李,5
