phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
自言,191,0.30317460317460315,0.007783651999338272,1.5235685461662987,0.16095221054270878,0.00610189124416142,10,0.004335,1.0,42.0,1.0,1.0,1.0,9.2
无穷,146,0.23174603174603176,0.010420083949495715,1.4826327401386419,0.11800347260100165,0.004375017759163177,15,0.006502,3.0,24.0,2.0,15.0,4.0,9.6
桃李,130,0.20634920634920634,0.014565826330532211,1.4526142665521953,0.10132136057024076,0.0039412220282116365,29,0.01257,7.0,9.0,5.0,26.0,10.0,11.4
蛾眉,139,0.22063492063492063,0.007876784347372585,1.4596779027937326,0.11168252773735926,0.004262213965750873,21,0.009103,4.0,41.0,4.0,20.0,5.0,14.8
古来,118,0.1873015873015873,0.012512623394976333,1.4514466791375733,0.09450552562044705,0.003650473055763627,18,0.007802,11.0,14.0,6.0,39.0,20.0,18.0
春来,133,0.2111111111111111,0.011060472236942825,1.4705667603509507,0.07243958536388861,0.00407600786226795,16,0.006935,5.0,21.0,3.0,57.0,9.0,19.0
意气,129,0.20476190476190476,0.011400055517702576,1.4511788770235616,0.06810853727340267,0.004155102732380111,17,0.007369,8.0,19.0,7.0,65.0,8.0,21.4
萧条,106,0.16825396825396827,0.009297582897022672,1.4377636547597912,0.09535298130753686,0.0035891723902916595,10,0.004335,24.5,33.0,9.0,36.0,22.0,24.9
可怜,108,0.17142857142857143,0.015971854207148323,1.4213031677874155,0.07530173884768625,0.003376972039576814,34,0.014738,21.5,3.0,15.0,54.0,32.0,25.1
纵横,122,0.19365079365079366,0.00747301923772512,1.4123377842904534,0.09918622465483488,0.003685398395412204,19,0.008236,10.0,50.0,28.0,32.0,18.0,27.6
叹息,102,0.1619047619047619,0.014697049991167636,1.4382491658697036,0.08143244812381054,0.003186571159987468,25,0.010837,33.5,8.0,8.0,45.0,48.0,28.5
白发,108,0.17142857142857143,0.012668787962905608,1.4102122020840262,0.09190567506941168,0.003150731835906633,18,0.007802,21.5,12.0,29.0,42.0,50.0,30.9
白首,111,0.1761904761904762,0.007633179397885279,1.4136556401773561,0.0950383325903832,0.003279932630680111,15,0.006502,16.5,46.0,22.0,38.0,41.0,32.7
封侯,126,0.2,0.0033157527275174334,1.4332846535263677,0.11476799238813018,0.004160151959502475,10,0.004335,9.0,127.0,10.0,17.0,7.0,34.0
翡翠,112,0.17777777777777778,0.004828434240198946,1.4312375580162084,0.10265596131705013,0.003519038352275051,12,0.005202,15.0,94.0,11.0,24.0,26.0,34.0
千载,101,0.16031746031746033,0.015302697655638832,1.3999482921320812,0.07698756801527606,0.0030708761566527734,25,0.010837,37.0,7.0,35.0,50.0,54.0,36.6
公子,110,0.1746031746031746,0.005656917421623303,1.4014909870870982,0.09388083331297663,0.003541475999077482,21,0.009103,19.0,74.0,33.0,40.0,24.0,38.0
颜色,132,0.20952380952380953,0.002598486842184321,1.4179645202139461,0.12689410947108856,0.004663571249475529,8,0.003468,6.0,156.0,19.0,9.0,3.0,38.6
芳菲,102,0.1619047619047619,0.02195161548102725,1.3889161711708227,0.07057573859908464,0.0030771871752764773,31,0.013437,33.5,1.0,46.0,63.0,53.0,39.3
昔日,102,0.1619047619047619,0.004260713294326742,1.4182725954867559,0.10291417683618091,0.003420276289344329,10,0.004335,33.5,105.0,18.0,23.0,29.0,41.7
昔时,105,0.16666666666666666,0.006543097719568309,1.4132173920213922,0.056719129436240474,0.003437666652517596,13,0.005635,26.5,61.0,24.0,84.0,28.0,44.7
闻道,91,0.14444444444444443,0.012757142897198913,1.3907695214077962,0.07303935418487925,0.002955644944219475,22,0.009536,52.5,11.0,43.0,56.0,63.0,45.1
鸳鸯,105,0.16666666666666666,0.007517096928861636,1.3902655552195304,0.05962810540206879,0.0034020019752025567,20,0.008669,26.5,48.0,44.0,77.0,31.0,45.3
西山,110,0.1746031746031746,0.003074503074503074,1.4148865877442927,0.10091163303521894,0.0036652873254295407,13,0.005635,19.0,142.0,21.0,27.0,19.0,45.6
摇落,99,0.15714285714285714,0.005550707315413196,1.4128282259828435,0.0862877529679759,0.00326880789722323,12,0.005202,40.5,77.0,27.0,43.0,43.0,46.1
黄金,94,0.1492063492063492,0.009836827623942467,1.413167492729612,0.07605343040386361,0.002775692704637281,22,0.009536,48.0,29.0,25.0,51.0,78.0,46.2
相识,103,0.1634920634920635,0.005371127429950958,1.4284214119326675,0.06112201151600219,0.00334360296547987,14,0.006068,29.0,82.0,12.0,75.0,36.0,46.8
湘水,100,0.15873015873015872,0.004112223467965764,1.4239005826284763,0.09566954252189992,0.0032026570633428737,10,0.004335,38.5,111.0,14.0,34.0,47.0,48.9
迢递,117,0.18571428571428572,0.002617323205558499,1.4164723075549357,0.07209406905943716,0.003901335134615079,12,0.005202,12.0,155.0,20.0,58.0,12.0,51.4
天涯,107,0.16984126984126985,0.003253866111008968,1.4201107052484807,0.06663849736351032,0.0035405998418161066,11,0.004768,23.0,132.0,16.0,67.0,25.0,52.6
白玉,106,0.16825396825396827,0.00276259452730041,1.4068417088299732,0.10051882326646128,0.0034112496314612642,11,0.004768,24.5,149.0,31.0,29.0,30.0,52.7
青楼,100,0.15873015873015872,0.006083184024360496,1.388787779260092,0.05545128728701698,0.0034407762797581233,14,0.006068,38.5,67.0,47.0,86.0,27.0,53.1
忆昔,111,0.1761904761904762,0.0016633440162851926,1.4135757997869396,0.11677452818233025,0.0037938144196016637,6,0.002601,16.5,208.0,23.0,16.0,15.0,55.7
须臾,160,0.25396825396825395,0.0009934724640606994,1.428217599805784,0.16002103890017383,0.005666163889963869,8,0.003468,2.0,265.0,13.0,2.0,2.0,56.8
汉家,90,0.14285714285714285,0.011553310012693769,1.3917011745600048,0.044159894128491535,0.0028726791206654307,22,0.009536,57.5,18.0,41.0,114.0,70.0,60.1
茫茫,103,0.1634920634920635,0.002054659701718525,1.3847929515937907,0.11184178253724263,0.003547056286207967,6,0.002601,29.0,185.0,49.0,19.0,23.0,61.0
佳人,91,0.14444444444444443,0.006929901635783992,1.3666502860252623,0.07381063241479693,0.002919724232260508,18,0.007802,52.5,57.0,78.0,55.0,67.0,61.9
当时,102,0.1619047619047619,0.0027432955164047603,1.4130577019690216,0.06744336501539296,0.0033635041719141416,8,0.003468,33.5,150.0,26.0,66.0,34.0,61.9
江南,95,0.15079365079365079,0.004868734280498986,1.4089103277530428,0.04985237716293252,0.0031417037717284446,13,0.005635,47.0,93.0,30.0,100.0,51.0,64.2
衣裳,110,0.1746031746031746,0.0015351485939721235,1.3739549017492048,0.121870354020821,0.003926849327164418,5,0.002167,19.0,218.0,62.0,13.0,11.0,64.6
逶迤,87,0.1380952380952381,0.006183578536519715,1.3744236166398482,0.0759998552170152,0.0026933218806437374,16,0.006935,64.0,66.0,61.0,52.0,84.0,65.4
大道,113,0.17936507936507937,0.0017879984826763536,1.3835805545448403,0.07544032129600478,0.0038994052775234295,9,0.003901,14.0,199.0,50.0,53.0,13.0,65.8
巫山,83,0.13174603174603175,0.009378369966605257,1.3687840761240009,0.06567454787397656,0.0026406589377390775,22,0.009536,75.5,30.0,70.0,69.0,86.0,66.1
青门,85,0.1349206349206349,0.01029832353361765,1.3986057113183108,0.04313708563705629,0.0026359066570850326,17,0.007369,69.0,26.0,36.0,116.0,88.0,67.0
丈夫,96,0.1523809523809524,0.003295985060690943,1.4185839254369412,0.054237345712715,0.0030288025156416654,12,0.005202,45.0,130.0,17.0,91.0,58.0,68.2
风光,90,0.14285714285714285,0.007574128750599337,1.3668987811951552,0.05292383760763734,0.002817892772065839,21,0.009103,57.5,47.0,77.0,93.0,75.0,69.9
归去,96,0.1523809523809524,0.003090439561027796,1.3900100686813461,0.05774923857408572,0.003306573567674213,12,0.005202,45.0,141.0,45.0,82.0,39.0,70.4
白露,80,0.12698412698412698,0.008044695355619726,1.379972293441996,0.06591009978648647,0.0025154816029341913,21,0.009103,89.0,40.0,53.0,68.0,105.0,71.0
少年,90,0.14285714285714285,0.004165089459207106,1.3776642178153082,0.05864101416489647,0.003062517164339144,14,0.006068,57.5,109.0,57.0,79.0,55.0,71.5
淹留,97,0.15396825396825398,0.0036098283157106675,1.3799491306066392,0.0506483008090759,0.0030339670909433456,14,0.006068,42.5,117.0,54.0,98.0,57.0,73.7
悠悠,80,0.12698412698412698,0.01794231205995912,1.360186967759784,0.057153854440666986,0.002491625531455858,41,0.017772,89.0,2.0,88.0,83.0,108.0,74.0
将军,81,0.12857142857142856,0.01187405893288246,1.3696378230832953,0.04281797884965182,0.0026387067918540843,36,0.015605,83.5,17.0,68.0,118.0,87.0,74.7
东南,92,0.14603174603174604,0.0035875371169488816,1.394655518891415,0.04922396587155416,0.0028919853053761286,12,0.005202,50.0,118.0,37.0,102.0,68.0,75.0
白马,103,0.1634920634920635,0.0017568352302245855,1.4004861865601432,0.06393608676654962,0.0032409160796215346,10,0.004335,29.0,203.0,34.0,73.0,45.0,76.8
