社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
0,尚书,18,73,2.0,518.0,1
0,圣人,17,62,2.6,401.6153846153846,2
0,万国,15,33,22.5,59.44444444444444,3
0,朝廷,15,35,23.8,57.016806722689076,4
0,自言,13,33,30.8,45.467532467532465,5
0,感激,9,27,55.0,27.181818181818183,6
0,千秋,7,19,97.4,17.266940451745377,7
0,衣裳,7,16,110.9,16.017132551848512,8
0,日照,7,15,119.6,15.361204013377927,9
0,丈夫,7,18,136.6,14.320644216691068,10
0,太平,6,16,124.3,14.045052292839904,11
0,文章,6,9,277.6,9.602305475504323,12
0,万户,5,24,69.1,19.471780028943563,13
0,汉宫,5,18,101.8,14.82318271119843,14
0,十载,5,13,150.8,11.63129973474801,15
0,天下,5,9,257.8,8.878975950349108,16
0,乾坤,5,9,304.2,8.287310979618672,17
0,阳春,4,9,209.1,8.782400765184121,18
0,富贵,4,11,215.1,8.649000464900046,19
0,君家,4,8,261.9,7.818251240931653,20
0,白日,4,4,401.8,6.488800398208063,21
0,风波,3,12,163.4,9.119951040391676,22
0,携手,3,10,219.8,7.549590536851683,23
0,十里,3,6,274.7,6.640334910811795,24
0,青春,3,7,285.7,6.500175008750437,25
0,连天,3,9,298.5,6.350083752093802,26
0,辛苦,3,7,301.8,6.313452617627568,27
0,游子,3,9,301.9,6.3123550844650556,28
0,日月,3,6,322.1,6.104625892579944,29
0,八月,3,7,327.9,6.049710277523635,30
0,旌旗,3,8,329.5,6.034901365705615,31
0,松风,3,4,394.2,5.536783358701166,32
0,霄汉,3,6,402.2,5.486325211337643,33
0,秋色,3,6,402.3,5.48570718369376,34
0,星辰,3,5,421.0,5.375296912114014,35
0,萧条,3,4,478.0,5.092050209205021,36
0,天台,3,3,524.6,4.906214258482653,37
0,生死,2,10,245.9,6.06669377795852,38
0,春光,2,8,261.8,5.819709702062643,39
0,风起,2,5,337.7,4.961208172934557,40
