phrase,community
万户,0
千门,1
今年,2
去年,2
东西,3
南北,3
北阙,1
南宫,1
霓裳,1
两相,11
北斗,5
南山,1
意气,6
昆仑,5
单于,3
汉家,3
山色,10
水声,10
云雨,8
巫山,8
圣人,0
尚书,0
衣冠,1
渭水,1
壮士,6
叹息,10
行路,10
水清,5
兄弟,11
出入,11
皎然,6
风霜,10
金陵,11
骑马,11
新月,9
罗衣,9
宛转,8
逶迤,8
弟子,11
今朝,3
昨日,3
君恩,9
宫中,11
登高,4
重阳,4
歌声,11
窈窕,11
梨花,9
满地,5
同心,9
鸳鸯,9
氛氲,1
老人,5
逢人,5
朝朝,11
九天,5
叶落,9
江城,4
秋日,6
马蹄,6
歌舞,11
白玉,11
黄金,11
乾坤,0
翡翠,9
古木,10
山高,10
自言,0
紫微,5
万国,0
宫殿,5
远近,2
东海,5
宁知,2
双阙,2
梦里,9
阳台,8
功名,6
玲珑,7
九重,9
凤凰,9
鹦鹉,1
瑶池,5
路难,10
中原,1
百尺,11
走马,11
干戈,6
山头,11
白露,11
归客,5
花下,5
丈夫,0
明主,1
清净,10
太平,0
芳树,7
金谷,7
夜长,11
承恩,11
公卿,11
菊花,4
朝廷,0
蓬莱,5
日夕,6
思量,9
闭门,1
相对,5
垂杨,9
春来,9
欢娱,10
送客,2
万物,6
天地,6
万古,0
千秋,0
云飞,10
人间,5
天上,5
桃源,5
相忆,11
松柏,2
花间,5
咸阳,6
万年,5
东方,5
秋天,6
蛟龙,6
未央,5
草绿,9
封侯,2
黄鹤,2
岁寒,5
青松,5
对酒,2
乔木,8
日照,0
高台,2
劝君,5
残月,5
马嘶,9
玉楼,11
黄花,4
日夜,5
感激,0
青天,0
相随,9
花满,11
秋草,6
前程,6
岐路,6
天下,0
青楼,11
昔时,8
美人,11
芙蓉,11
玉树,11
风飘,8
白蘋,11
扬州,4
猿声,4
君心,6
咫尺,6
富贵,0
汉宫,0
江海,6
汉水,8
行客,7
玉堂,2
白马,9
相知,3
雨后,9
梧桐,9
御沟,1
牡丹,9
头白,4
百年,4
孤舟,7
人情,10
庭前,6
大道,10
珍重,5
往事,9
君王,11
清明,9
所以,2
楼上,11
来往,3
帝城,5
莺啼,9
十载,0
思君,9
苍梧,7
文章,0
蛾眉,5
寒食,9
巫峡,8
月出,2
今已,4
江水,11
伤心,7
年华,5
饮酒,6
婵娟,11
楼前,8
古来,2
草木,6
须臾,3
公子,11
圣朝,1
竹林,11
萧索,9
夫子,6
人生,5
人皆,5
龙门,8
忆昔,6
行乐,9
才子,11
雨露,5
他乡,8
溪水,4
心事,9
山路,10
杜陵,10
家贫,7
雨雪,7
世上,10
世事,7
鬼神,6
九衢,2
光辉,2
看花,5
城中,10
花前,9
仙人,11
千金,2
鱼龙,4
老去,3
无力,9
相寻,11
闻道,3
淹留,8
东流,9
风波,0
月满,11
花开,11
花落,11
月色,11
微雨,4
怜君,4
春色,9
东南,2
天寒,2
日晚,2
次第,11
时节,9
旧游,9
携手,0
北风,6
河汉,6
文字,2
佳期,9
日月,0
参差,8
是非,10
八月,0
君子,6
黄河,6
苦辛,10
芳菲,8
桃花,7
武陵,7
子孙,0
今来,10
独坐,5
沧海,5
管弦,11
愁人,9
满眼,9
将军,3
春草,5
洛阳,11
依稀,11
寂寞,11
清晨,6
空馀,3
湘水,10
相识,10
青门,10
红粉,9
路傍,11
可惜,9
离别,5
暮雨,8
衣裳,0
人稀,6
凉风,2
游子,0
天子,1
山河,6
晚来,9
月光,5
苍茫,2
依然,9
花飞,9
尘土,6
羽翼,6
青冥,6
日斜,4
松风,0
阳春,0
关山,7
古人,6
柳色,8
梅花,8
男儿,6
断肠,9
从容,5
世人,6
江流,2
蹉跎,7
风景,5
消息,10
自然,6
人世,7
相送,7
君家,0
当年,0
含情,9
微风,9
从军,2
鸟飞,0
绮罗,7
辛苦,0
春深,2
游人,9
门前,11
双飞,9
水流,6
人归,9
古今,6
风尘,6
鸡鸣,2
楚客,4
白雪,4
日出,10
青草,4
使君,1
独立,9
零落,8
湖上,5
相看,5
帝乡,2
寥落,10
日暮,11
月中,2
阳城,2
莲花,10
王孙,9
朱门,9
独自,5
旌旗,0
诸侯,1
长沙,8
花发,5
秋雨,4
闲居,4
草色,4
绿水,5
楼台,6
陌上,9
道路,2
寻常,10
颜色,6
白日,0
青春,0
楚水,8
相见,10
马上,3
纵横,10
孤城,5
飞鸟,5
有情,9
临风,9
东林,10
寒山,10
碧云,4
知己,2
无情,10
飘飖,5
月照,7
苍生,2
丞相,10
闻说,10
相亲,10
春水,11
星辰,0
骨肉,10
阙下,1
落叶,11
登楼,8
天台,0
杏花,9
依旧,9
夜深,11
深处,9
今夜,2
曲江,1
先生,11
连天,0
年少,5
百里,1
路岐,6
明年,9
风光,9
焚香,4
城下,9
归路,5
得意,1
风动,5
独行,11
绿杨,9
阑干,9
百花,9
猿啼,10
车马,2
花时,9
春日,11
经过,11
迢递,7
沧浪,8
行人,11
青苔,9
西山,11
读书,0
悠悠,5
望乡,2
昔日,2
