community_id,size,theme_chars,theme_label,phrases
0,54,天 万 风 春,天万风春,万户 圣人 尚书 乾坤 自言 万国 丈夫 太平 朝廷 万古 千秋 日照 感激 青天 天下 富贵 汉宫 十载 文章 风波 携手 日月 八月 子孙 衣裳 游子 松风 阳春 君家 当年 鸟飞 辛苦 旌旗 白日 青春 星辰 天台 连天 读书 生死 昨夜 霄汉 春光 钓鱼 长安 潺湲 萧条 风起 明时 十里
1,28,门 阙 南 天,门阙南天,千门 北阙 南宫 霓裳 南山 衣冠 渭水 氛氲 鹦鹉 中原 明主 闭门 御沟 圣朝 天子 使君 诸侯 阙下 曲江 百里 得意 流年 人心 天涯 泉声 云间 自由 十年
2,78,知 江 山 秋,知江山秋,今年 去年 远近 宁知 双阙 送客 松柏 封侯 黄鹤 对酒 高台 玉堂 所以 月出 古来 九衢 光辉 千金 东南 天寒 日晚 文字 凉风 苍茫 江流 从军 春深 鸡鸣 帝乡 月中 阳城 道路 知己 苍生 今夜 车马 望乡 昔日 丹砂 长江 高树 造化 远山 相望 白首 东山 谢公 秋声 知音 故国
3,21,人 东 西 南,人东西南,东西 南北 单于 汉家 今朝 昨日 相知 来往 须臾 老去 闻道 将军 空馀 马上 自古 姓名 圣主 浮云 明日 他人 故人
11,70,人 月 相 子,人月相子,两相 兄弟 出入 金陵 骑马 弟子 宫中 歌声 窈窕 朝朝 歌舞 白玉 黄金 百尺 走马 山头 白露 夜长 承恩 公卿 相忆 玉楼 花满 青楼 美人 芙蓉 玉树 白蘋 君王 楼上 江水 婵娟 公子 竹林 才子 仙人 相寻 月满 花开 花落 月色 次第 管弦 洛阳 依稀 寂寞 路傍 门前 日暮 春水
5,80,人 花 年 水,人花年水,北斗 昆仑 水清 满地 老人 逢人 九天 紫微 宫殿 东海 瑶池 归客 花下 蓬莱 相对 人间 天上 桃源 花间 万年 东方 未央 岁寒 青松 劝君 残月 日夜 珍重 帝城 蛾眉 年华 人生 人皆 雨露 看花 独坐 沧海 春草 离别 月光 从容 风景 湖上 相看 独自 花发 绿水 孤城 飞鸟 飘飖
6,59,秋 万 河 人,秋万河人,意气 壮士 皎然 秋日 马蹄 功名 干戈 日夕 万物 天地 咸阳 秋天 蛟龙 秋草 前程 岐路 君心 咫尺 江海 庭前 饮酒 草木 夫子 忆昔 鬼神 北风 河汉 君子 黄河 清晨 人稀 山河 尘土 羽翼 青冥 古人 男儿 世人 自然 水流 古今 风尘 楼台 颜色 路岐 万事 黄昏 山川 烟波 高楼
10,51,山 相 水 路,山相水路,山色 水声 叹息 行路 风霜 古木 山高 路难 清净 欢娱 云飞 人情 大道 山路 杜陵 世上 城中 是非 苦辛 今来 湘水 相识 青门 消息 日出 寥落 莲花 寻常 相见 纵横 东林 寒山 无情 丞相 闻说 相亲 骨肉 猿啼 茫茫 吟诗 山僧 当时 江南 浮生 永日 故山 归来 临水 莓苔 主人
8,38,云 雨 巫 风,云雨巫风,云雨 巫山 宛转 逶迤 阳台 乔木 昔时 风飘 汉水 巫峡 楼前 龙门 他乡 淹留 参差 芳菲 暮雨 柳色 梅花 零落 长沙 楚水 登楼 沧浪 等闲 笙歌 半夜 花枝 孤云 憔悴 生涯 关河 神仙 枕上 无穷 洞庭 风烟 远客
9,90,花 风 心 春,花风心春,新月 罗衣 君恩 梨花 同心 鸳鸯 叶落 翡翠 梦里 九重 凤凰 思量 垂杨 春来 草绿 马嘶 相随 白马 雨后 梧桐 牡丹 往事 清明 莺啼 思君 寒食 萧索 行乐 心事 花前 无力 东流 春色 时节 旧游 佳期 愁人 满眼 红粉 可惜 晚来 依然 花飞 断肠 含情 微风 游人 双飞 人归 独立
4,36,高 花 黄 白,高花黄白,登高 重阳 江城 菊花 黄花 扬州 猿声 头白 百年 今已 溪水 鱼龙 微雨 怜君 日斜 楚客 白雪 青草 秋雨 闲居 草色 碧云 焚香 太守 高秋 红叶 少年 黄叶 题诗 所思 吾道 多情 风流 向东 空山 夜月
7,31,世 山 月 落,世山月落,玲珑 芳树 金谷 行客 孤舟 苍梧 伤心 家贫 雨雪 世事 桃花 武陵 关山 蹉跎 人世 相送 绮罗 月照 迢递 日落 草堂 眼前 台上 思归 月落 镜中 风吹 山水 到处 近来 名利
