phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
尚书,73,0.11496062992125984,0.03281253881119749,1.332250318027033,0.22184863258065513,0.009777337308014583,12,0.000783,1.0,4.0,2.0,2.0,1.0,2.0
圣人,62,0.09763779527559055,0.039801038277155414,1.3364249802983073,0.17139841158500022,0.008299828463601897,25,0.001632,3.0,1.0,1.0,5.0,3.0,2.6
霓裳,65,0.10236220472440945,0.028851519742997427,1.305278216423774,0.236085037416929,0.008948980239492121,23,0.001502,2.0,5.0,5.0,1.0,2.0,3.0
劝君,54,0.08503937007874016,0.03500583720410343,1.3078348810227287,0.1652550766867983,0.00682831595477981,21,0.001371,6.0,3.0,4.0,6.0,6.0,5.0
北斗,57,0.08976377952755905,0.027725477532973993,1.2689395015767102,0.19317426945287008,0.007980327032900136,20,0.001306,4.0,6.0,8.0,4.0,4.0,5.2
宛转,49,0.07716535433070866,0.036816612434486695,1.2886155202111431,0.1439893681623806,0.006693489978733203,19,0.001241,7.0,2.0,7.0,8.0,7.0,6.2
罗衣,55,0.08661417322834646,0.02711029417852737,1.2920762993640675,0.13375130910822355,0.007294930783539768,40,0.002612,5.0,7.0,6.0,11.0,5.0,6.8
老人,43,0.06771653543307087,0.023280094720021197,1.2616426845644715,0.14115165073998961,0.005859424548762716,25,0.001632,9.0,8.0,9.0,9.0,9.0,8.8
紫微,46,0.07244094488188976,0.016133866547438667,1.3106873394053247,0.20575476680824462,0.0056617859371886955,28,0.001828,8.0,24.0,3.0,3.0,11.0,9.8
桃源,40,0.06299212598425197,0.016835572998170182,1.2550793456418707,0.13081643429437909,0.0052416198898496144,23,0.001502,11.5,21.0,11.0,12.0,13.0,13.7
昆仑,36,0.05669291338582677,0.01785439280657741,1.2416734697010967,0.12292055770438537,0.004807698536591728,31,0.002024,17.5,18.0,15.0,17.0,21.0,17.7
梦里,36,0.05669291338582677,0.02134181176879704,1.2514916548742976,0.08933223455070609,0.004917516723141876,39,0.002546,17.5,11.0,13.0,30.0,18.0,17.9
清净,35,0.05511811023622047,0.019001962294145407,1.2444737087173237,0.1226795609371918,0.004746929649510616,29,0.001893,21.0,16.0,14.0,18.0,22.0,18.2
叹息,40,0.06299212598425197,0.020455053528403586,1.2180802969350595,0.08414748552158549,0.005534426491631625,20,0.001306,11.5,13.0,22.0,35.0,12.0,18.7
万年,40,0.06299212598425197,0.008438278811363093,1.253471219589182,0.14820030927780636,0.004951399484634354,23,0.001502,11.5,62.0,12.0,7.0,15.0,21.5
万国,33,0.05196850393700787,0.016575175737102262,1.2361347582176283,0.09955825212893987,0.004546984025151734,26,0.001698,26.5,22.0,16.0,21.0,27.0,22.5
承恩,38,0.05984251968503937,0.00962766089570034,1.2349575221093472,0.13054422299368487,0.0049325946018643416,35,0.002285,14.5,55.0,17.0,13.0,17.0,23.3
朝廷,35,0.05511811023622047,0.019858499548755144,1.2217846559212842,0.0736299874658412,0.00494237409466445,23,0.001502,21.0,15.0,20.0,47.0,16.0,23.8
欢娱,37,0.05826771653543307,0.02215653642663752,1.2265728118133234,0.061259404202822276,0.005229750784119756,15,0.000979,16.0,10.0,18.0,64.0,14.0,24.4
出入,40,0.06299212598425197,0.019955786283812314,1.1820795232699717,0.0768633305775042,0.006144883737248619,13,0.000849,11.5,14.0,48.0,41.0,8.0,24.5
梨花,35,0.05511811023622047,0.015007824337415236,1.2124296338537925,0.0898646852695719,0.004592808897569844,48,0.003134,21.0,29.0,25.0,29.0,24.0,25.6
云飞,33,0.05196850393700787,0.017506644477011352,1.2159222005871047,0.08507104251857221,0.004345409057084292,38,0.002481,26.5,19.0,23.0,33.0,28.0,25.9
东方,32,0.050393700787401574,0.012888215471488775,1.2601776136400735,0.12292285636454249,0.003964276840033549,27,0.001763,29.0,41.0,10.0,16.0,36.0,26.4
意气,38,0.05984251968503937,0.01593432524404481,1.2009293506199026,0.07349997366718275,0.00571811183564634,15,0.000979,14.5,26.0,34.0,48.0,10.0,26.5
东海,33,0.05196850393700787,0.02254071553358669,1.224035041035187,0.06710653597045974,0.004580699628673826,27,0.001763,26.5,9.0,19.0,54.0,26.0,26.9
宁知,35,0.05511811023622047,0.01713902481432723,1.2129324639547892,0.06293481133814897,0.004847302064546384,20,0.001306,21.0,20.0,24.0,59.0,20.0,28.8
宫中,35,0.05511811023622047,0.0075544184737160215,1.2216865085197521,0.14109490098995117,0.004616206471598628,30,0.001959,21.0,71.0,21.0,10.0,23.0,29.2
骑马,31,0.048818897637795275,0.013943466057279117,1.2097001100657552,0.09924543975050874,0.004256499163734709,31,0.002024,31.0,35.0,30.0,22.0,30.0,29.6
自言,33,0.05196850393700787,0.014429071760351722,1.2106837437110483,0.07601703908282523,0.004591790291234116,21,0.001371,26.5,32.5,28.0,42.0,25.0,30.8
