社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
0,佳期,16,34,180.8,21.530973451327434,1
0,猿声,14,53,47.6,35.008403361344534,2
0,落叶,13,29,225.9,17.42673749446658,3
0,西风,13,29,236.8,17.222972972972972,4
0,早晚,12,38,112.9,20.857395925597874,5
0,门前,12,35,113.6,20.802816901408452,6
0,自怜,11,40,118.7,19.424599831508004,7
0,思君,11,26,266.0,14.759398496240602,8
0,八月,9,32,153.8,15.501950585175553,9
0,老去,8,33,161.0,14.211180124223603,10
0,风波,8,26,218.4,12.578754578754578,11
0,天上,7,20,337.6,9.96208530805687,12
0,风起,7,13,463.6,9.157031924072477,13
0,当年,6,32,164.2,12.090133982947625,14
0,暮雨,6,28,232.4,10.302925989672978,15
0,须臾,6,28,240.2,10.163197335553704,16
0,红尘,6,19,435.0,8.298850574712644,17
0,行人,4,20,285.6,7.50140056022409,18
0,心期,4,23,394.5,6.534854245880862,19
0,月光,3,31,167.8,8.959475566150179,20
0,昨夜,3,16,402.0,5.487562189054726,21
0,马蹄,3,14,456.3,5.191540653079114,22
0,吟诗,3,16,457.6,5.185314685314685,23
0,桃花,3,11,538.4,4.857355126300149,24
0,近来,2,22,375.3,4.6645350386357585,25
0,秋风,2,8,558.3,3.791151710549884,26
1,梦魂,25,54,48.0,45.83333333333333,1
1,可惜,21,66,26.7,58.453183520599254,2
1,婵娟,20,57,43.8,42.8310502283105,3
1,怜君,15,39,98.2,25.183299389002038,4
1,黄叶,14,41,115.9,22.628127696289905,5
1,无情,13,51,54.1,31.484288354898336,6
1,相忆,13,30,172.6,18.793742757821555,7
1,楚水,13,31,173.8,18.75373993095512,8
1,叶落,13,34,200.0,18.0,9
1,碧云,12,45,63.4,27.77287066246057,10
1,向人,12,30,203.6,16.911591355599214,11
1,君心,11,53,46.4,32.55172413793103,12
1,殷勤,11,34,125.8,18.94912559618442,13
1,青苔,11,32,180.6,16.537098560354373,14
1,月明,11,28,205.2,15.873294346978557,15
1,昔日,11,27,277.9,14.598416696653473,16
1,肠断,10,35,141.4,17.07213578500707,17
1,千万,10,27,188.3,15.310674455655867,18
1,苍苔,9,33,146.4,15.830601092896174,19
1,承恩,8,35,130.4,15.668711656441717,20
1,白露,8,29,194.1,13.151983513652755,21
1,花满,8,23,255.6,11.912363067292645,22
1,自知,8,19,332.5,11.007518796992482,23
1,遥知,8,16,413.4,10.418964683115627,24
1,至今,8,15,460.9,10.169668040789759,25
1,无力,7,42,110.5,16.04977375565611,26
1,鱼龙,7,34,135.2,14.396449704142013,27
1,凉风,7,15,453.3,9.206044562100153,28
1,逶迤,6,32,152.8,12.544502617801047,29
1,鹦鹉,6,28,175.0,11.714285714285715,30
1,日夜,6,25,233.6,10.280821917808218,31
1,风烟,6,23,248.0,10.032258064516128,32
1,怅望,6,24,282.3,9.542330853701735,33
1,往来,6,19,336.1,8.975304968759298,34
1,对酒,6,18,366.7,8.727024815925825,35
1,题诗,5,19,342.3,7.92141396435875,36
1,空馀,5,18,388.7,7.572678157962439,37
1,独坐,5,18,400.6,7.496255616575137,38
1,凤凰,5,15,445.8,7.243158366980708,39
1,太平,4,30,181.6,9.506607929515418,40
1,流年,4,24,267.1,7.743916136278547,41
1,落花,4,20,285.6,7.50140056022409,42
1,月满,4,17,457.3,6.186748305270063,43
1,圣朝,4,15,476.7,6.09775540172016,44
1,高树,4,17,485.1,6.061430632859205,45
1,车马,4,13,505.3,5.979022362952701,46
1,汉水,3,12,484.7,5.063131834124201,47
1,孤舟,3,9,573.7,4.743071291615827,48
1,秋声,2,17,405.6,4.465483234714004,49
1,归来,2,6,544.1,3.837897445322551,50
1,携手,2,5,604.8,3.6534391534391535,51
1,乔木,2,7,625.4,3.598976654940838,52
1,红叶,2,5,637.2,3.569365976145637,53
1,相见,1,6,605.6,2.6512549537648615,54
1,流水,1,2,646.0,2.5479876160990713,55
2,生死,17,49,78.7,29.706480304955527,1
2,公卿,15,57,36.8,42.173913043478265,2
2,扬州,13,45,63.8,28.673981191222573,3
2,满地,12,57,40.6,36.63054187192118,4
2,朱门,12,48,52.0,31.23076923076923,5
2,半夜,10,42,105.3,19.49667616334283,6
2,花时,10,31,216.2,14.625346901017576,7
2,御沟,10,25,338.6,12.95333727111636,8
2,湘水,9,20,395.0,11.531645569620252,9
2,竹林,9,16,439.2,11.276867030965391,10
2,金谷,8,31,211.0,12.739336492890995,11
2,送客,8,22,294.9,11.390979993218041,12
2,自由,8,21,415.3,10.407897905128822,13
2,随风,7,30,184.4,12.422993492407809,14
2,依旧,7,28,265.2,10.770739064856713,15
2,姓名,7,21,402.3,9.48570718369376,16
2,珍重,7,18,458.9,9.179123992155153,17
2,深山,7,14,517.9,8.930874686232864,18
2,鬼神,6,34,168.0,11.952380952380953,19
2,微雨,6,33,182.0,11.494505494505495,20
2,头白,6,17,394.0,8.538071065989847,21
2,烟雨,6,19,402.1,8.486943546381497,22
2,岐路,6,20,405.2,8.46791707798618,23
2,北斗,5,29,183.7,10.443658138268917,24
2,今来,5,25,253.6,8.943217665615142,25
2,杜陵,5,23,277.4,8.604902667627975,26
2,云间,5,22,280.1,8.570153516601213,27
2,看花,5,24,296.3,8.374957813027336,28
2,人情,5,20,319.0,8.134796238244514,29
2,帝乡,5,19,351.9,7.8417163967036085,30
2,细雨,5,17,415.6,7.406159769008662,31
2,分明,5,13,509.2,6.963864886095837,32
2,知音,5,11,550.6,6.816200508536142,33
