phrase,community
多情,8
闻说,8
南宫,6
牡丹,6
御沟,2
朱门,2
依稀,3
枕上,3
今年,7
去年,7
垂杨,8
君恩,8
翡翠,5
鸳鸯,5
有情,8
向东,6
红尘,0
深处,3
溪水,3
姓名,2
烟雨,2
大道,8
山路,9
红叶,1
东西,7
南北,4
咫尺,8
菊花,6
重阳,6
丞相,6
梨花,5
玉楼,5
交亲,7
年华,7
万户,9
千门,4
双飞,4
宛转,4
思量,4
莓苔,9
楼前,9
次第,6
等闲,8
风光,8
断肠,5
风飘,4
两相,5
阑干,5
月明,1
花下,5
霓裳,4
夜长,5
云雨,5
山川,3
山僧,7
名利,4
草绿,4
洞庭,6
潇湘,7
行人,0
相看,8
岁寒,4
珍重,2
看花,2
梦魂,1
登高,6
曲江,9
瑶池,9
斜阳,9
鹧鸪,9
到处,7
残月,6
花前,7
花时,2
君王,5
汉宫,5
路傍,3
须臾,0
罗衣,5
美人,4
宫中,5
蛟龙,4
青楼,5
天外,4
玲珑,7
人皆,4
高台,4
君家,9
无限,5
游人,7
尘埃,4
物外,9
黄花,6
行路,8
春深,3
杏花,3
天寒,4
向人,1
君心,1
风月,4
独自,6
高树,1
故山,9
路岐,9
得意,8
紫微,5
寥落,3
独行,3
绮罗,8
庭前,4
所以,4
绿杨,3
帝乡,2
眼前,8
梦中,7
细雨,2
巫山,5
阳台,4
西风,0
月夜,5
玉树,5
裴回,4
秋草,4
百花,3
碧云,1
微风,3
黄鹤,4
少年,8
花间,5
北阙,5
东山,6
他年,9
心期,0
生死,2
苦辛,3
窈窕,5
山阴,6
道士,6
无力,1
水声,7
寻常,3
时节,3
羽翼,9
相对,8
相识,8
笙歌,8
满眼,8
管弦,8
月下,5
兄弟,8
万物,4
君子,4
满地,2
佳人,4
山头,5
当年,0
蹉跎,3
老去,0
微雨,2
近来,0
往事,6
昔年,6
从军,3
功名,3
颜色,8
单于,3
先生,6
鹦鹉,1
双阙,6
殷勤,1
春草,6
池塘,6
月落,4
红粉,5
扬州,2
自由,2
蛾眉,4
台上,3
桃源,3
九衢,7
渭水,9
叶落,1
昔日,1
太平,1
东林,7
流年,1
前程,6
所思,3
归心,6
公卿,2
莺啼,6
饮酒,6
东海,4
梦里,7
婵娟,1
无穷,4
参差,8
劝君,6
早晚,0
佳期,0
自怜,0
明日,6
旧游,7
行乐,5
携手,1
摇落,2
黄叶,1
城下,6
将军,3
汉家,3
世间,7
封侯,7
望乡,3
风景,3
楚水,1
清明,7
千金,4
迢递,3
别后,8
泉声,9
东方,6
北斗,2
自言,8
承恩,1
人情,2
头白,2
丈夫,3
湘水,2
芳树,7
万年,6
汀洲,6
竹林,2
马蹄,0
晚来,5
九天,9
随风,2
青冥,7
咸阳,4
歌舞,5
春水,2
肠断,1
骨肉,3
金谷,2
雨中,6
徘徊,9
古木,6
回头,7
英雄,7
相寻,4
松柏,4
使君,2
风起,0
零落,4
子孙,8
花飞,9
无情,1
歌声,9
依旧,2
生涯,6
野花,6
楼上,7
思归,3
依然,3
昔时,9
愁人,3
寒山,3
月中,9
河汉,9
独立,4
人稀,6
消息,7
思君,0
永日,7
关河,3
黄河,4
秋雨,3
富贵,8
江水,2
飘飖,3
王孙,6
人家,3
杨柳,9
花开,4
他人,6
落叶,0
今来,2
至今,1
日晚,9
出入,2
他乡,7
故国,7
秋色,7
半夜,2
凄凉,3
辛苦,3
天涯,9
可惜,1
汉水,1
寂寥,7
云飞,5
百尺,9
离别,5
林下,7
分明,2
男儿,8
人心,4
衣裳,5
星辰,4
绿水,4
八月,0
万事,8
日照,7
雨后,6
黄昏,9
同心,6
孤云,7
