community_id,size,theme_chars,theme_label,phrases
8,53,相 年 情 路,相年情路,多情 闻说 垂杨 君恩 有情 大道 咫尺 等闲 风光 相看 行路 得意 绮罗 眼前 少年 相对 相识 笙歌 满眼 管弦 兄弟 颜色 参差 别后 自言 子孙 富贵 男儿 万事 衣冠 相随 陌上 帝城 世上 归路 经过 花落 人生 公子 日暮 憔悴 读书 百年 相逢 始知 骑马 相思 年年 家贫 知己
6,91,花 山 道 草,花山道草,南宫 牡丹 向东 菊花 重阳 丞相 次第 洞庭 登高 残月 黄花 独自 东山 山阴 道士 往事 昔年 先生 双阙 春草 池塘 前程 归心 莺啼 饮酒 劝君 明日 城下 东方 万年 汀洲 雨中 古木 生涯 野花 人稀 王孙 他人 雨后 同心 夜来 焚香 浮生 花枝 草色 春雨 空山 意气 夜月 明时
2,54,水 雨 花 人,水雨花人,御沟 朱门 姓名 烟雨 珍重 看花 花时 帝乡 细雨 生死 满地 微雨 扬州 自由 公卿 摇落 北斗 人情 头白 湘水 竹林 随风 春水 金谷 使君 依旧 江水 今来 出入 半夜 分明 杯酒 扁舟 干戈 送客 知音 人间 云间 鬼神 岐路 欢娱 当时 苍梧 杜陵 深山 南山 青云 白头 海上 巫峡
3,95,山 风 人 深,山风人深,依稀 枕上 深处 溪水 山川 路傍 春深 杏花 寥落 独行 绿杨 百花 微风 苦辛 寻常 时节 蹉跎 从军 功名 单于 台上 桃源 所思 将军 汉家 望乡 风景 迢递 丈夫 骨肉 思归 依然 愁人 寒山 关河 秋雨 飘飖 人家 凄凉 辛苦 相访 逢人 波涛 十年 日斜 多少 钓鱼 他日 文字 登楼
7,83,山 秋 色 天,山秋色天,今年 去年 东西 交亲 年华 山僧 潇湘 到处 花前 玲珑 游人 梦中 水声 九衢 东林 梦里 旧游 世间 封侯 清明 芳树 青冥 回头 英雄 楼上 消息 永日 他乡 故国 秋色 寂寥 林下 日照 孤云 连天 东南 烟霞 花发 新诗 谢公 玉堂 十载 白发 月色 客心 武陵 沧洲 氛氲 芳菲 猿啼
5,50,花 玉 楼 相,花玉楼相,翡翠 鸳鸯 梨花 玉楼 断肠 两相 阑干 花下 夜长 云雨 君王 汉宫 罗衣 宫中 青楼 无限 紫微 巫山 月夜 玉树 花间 北阙 窈窕 月下 山头 红粉 行乐 晚来 歌舞 云飞 离别 衣裳 柳色 未央 白蘋 相亲 黄金 石上 桃李 今朝 白雪 可怜 池上 秋来 光辉 春风 今日 洛阳 神仙 清风
0,26,风 期 月 红,风期月红,红尘 行人 须臾 西风 心期 当年 老去 近来 早晚 佳期 自怜 马蹄 风起 思君 落叶 八月 昨夜 暮雨 门前 桃花 月光 吟诗 猿声 天上 风波 秋风
9,61,山 年 长 路,山年长路,山路 万户 莓苔 楼前 曲江 瑶池 斜阳 鹧鸪 君家 物外 故山 路岐 他年 羽翼 渭水 泉声 九天 徘徊 花飞 歌声 昔时 月中 河汉 杨柳 日晚 天涯 百尺 黄昏 昆仑 春来 圣主 楼台 世事 日出 寒食 自然 北风 湖上 走马 城中 年少 人归 千年 月照 鸟飞 霄汉 翠微 万国 逍遥 白马
1,55,叶 水 月 君,叶水月君,红叶 月明 梦魂 向人 君心 高树 碧云 无力 鹦鹉 殷勤 叶落 昔日 太平 流年 婵娟 携手 黄叶 楚水 承恩 肠断 无情 至今 可惜 汉水 青苔 白露 相忆 秋声 题诗 苍苔 月满 逶迤 落花 花满 凉风 风烟 鱼龙 日夜 千万 圣朝 往来 对酒 车马 独坐 相见 怜君 自知 怅望 空馀 孤舟
4,94,人 月 千 风,人月千风,南北 千门 双飞 宛转 思量 风飘 霓裳 名利 草绿 岁寒 美人 蛟龙 天外 人皆 高台 尘埃 天寒 风月 庭前 所以 阳台 裴回 秋草 黄鹤 万物 君子 佳人 月落 蛾眉 东海 无穷 千金 咸阳 相寻 松柏 零落 独立 黄河 花开 人心 星辰 绿水 萧索 古来 圣人 东风 丹砂 古今 故乡 明年
