phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
双飞,107,0.16187594553706505,0.01392625192927765,1.5516381259891239,0.183069528715314,0.005681956510509085,15,0.002934,3.0,1.0,1.0,3.0,3.0,2.2
名利,116,0.17549167927382753,0.012421109735784476,1.5301640498369014,0.19330904552666178,0.0062856229525907106,7,0.001369,2.0,5.0,2.0,2.0,2.0,2.6
霓裳,119,0.1800302571860817,0.0097331102247895,1.5216463003018745,0.20317286436978554,0.006583041592969377,7,0.001369,1.0,11.0,4.0,1.0,1.0,3.6
高台,92,0.13918305597579425,0.01287844950477326,1.5287914035481167,0.14524860020896369,0.004981195476430768,15,0.002934,4.0,2.0,3.0,7.0,4.0,4.0
鸳鸯,90,0.1361573373676248,0.012652623053530767,1.5069623908080072,0.15597097534681761,0.004736967547485574,32,0.00626,5.0,4.0,6.0,4.0,6.0,5.0
草绿,84,0.12708018154311648,0.011554883173642628,1.517758224719765,0.14933195634034824,0.004328879922359377,16,0.00313,6.5,8.0,5.0,6.0,7.0,6.5
宛转,80,0.12102874432677761,0.0075276975503904405,1.4966425112112618,0.14979269151733293,0.004270169915407523,12,0.002347,8.0,22.0,7.0,5.0,8.0,10.0
相寻,71,0.10741301059001514,0.009997445821954148,1.4823977689272179,0.12586652895199404,0.003699878862915929,13,0.002543,12.0,9.0,8.0,12.0,14.0,11.0
岁寒,70,0.10590015128593042,0.011917074352777834,1.4728201666612106,0.12054223134059647,0.0036689922161373353,13,0.002543,13.0,6.0,10.0,13.0,15.0,11.4
月落,72,0.10892586989409986,0.008723391249866288,1.46704720347112,0.14186422667532234,0.0038079746574766244,12,0.002347,10.5,16.0,13.0,8.0,11.0,11.7
曲江,84,0.12708018154311648,0.011681871666743074,1.4670391188244847,0.08817049768779014,0.004758613224498346,9,0.001761,6.5,7.0,14.0,28.0,5.0,12.1
南北,73,0.11043872919818457,0.005984641094323394,1.4818258775099908,0.13411991414634913,0.003900247262876694,13,0.002543,9.0,35.0,9.0,9.0,10.0,14.4
月夜,72,0.10892586989409986,0.009182215498403092,1.4474292259881631,0.08827376161196766,0.00407977090519248,14,0.002739,10.5,13.0,25.0,27.0,9.0,16.9
阳春,65,0.09833585476550681,0.008833417381072451,1.465331266464,0.10294186784641347,0.0033774753960195665,20,0.003912,19.0,14.0,16.0,17.0,23.0,17.8
星辰,66,0.09984871406959153,0.007478720640596587,1.4700169864577053,0.10884405602579525,0.003478165133428127,18,0.003521,17.5,23.0,11.0,16.0,22.0,17.9
