排名,词语,全局度,社区内度,所属社区
1,春风,155,101,0
2,杨柳,141,97,0
3,万里,130,73,1
4,青楼,124,61,0
5,落花,122,76,0
6,罗衣,120,76,0
7,离别,117,44,1
8,歌舞,115,70,0
9,美人,114,71,0
10,肠断,113,66,0
11,归客,113,59,1
12,垂杨,112,68,0
13,花满,112,62,0
14,长安,111,42,2
15,春色,110,76,0
16,东风,110,80,0
17,断肠,108,59,0
18,歌声,108,65,0
19,陌上,108,61,0
20,红粉,106,72,0
21,宫中,105,69,0
22,孤舟,104,60,1
23,莺啼,104,70,0
24,走马,104,41,2
25,花落,103,62,0
26,故乡,103,46,1
27,别离,101,44,1
28,春草,101,46,1
29,今日,101,36,2
30,落日,99,53,1
31,江上,99,58,1
32,梨花,98,64,0
33,相思,96,43,1
34,青山,96,47,1
35,白首,96,39,2
36,玉楼,96,61,0
37,秋风,96,48,1
38,花间,95,59,0
39,多情,95,59,0
40,桃李,95,65,0
41,少年,94,46,2
42,相识,94,37,2
43,夕阳,94,44,1
44,汀洲,94,42,1
45,秋草,94,45,1
46,他乡,93,52,1
47,送客,93,48,1
48,天涯,93,54,1
49,猿声,92,51,1
50,杏花,92,61,0
51,回首,91,47,1
52,寒食,91,63,0
53,鸳鸯,91,66,0
54,君王,90,62,0
55,须臾,90,48,2
56,千里,90,50,1
57,春来,89,63,0
58,白云,89,42,1
59,颜色,88,37,2
60,故国,88,44,1
61,云间,87,19,3
62,故人,87,43,1
63,楚水,86,52,1
64,楚客,86,47,1
65,芙蓉,86,63,0
66,咸阳,85,42,2
67,流水,85,19,3
68,洞庭,85,57,1
69,秋色,84,43,1
70,单于,82,39,2
71,桃源,81,22,3
72,路傍,81,37,2
73,夜雨,80,23,3
74,残阳,79,21,3
75,人间,79,19,3
76,人生,79,43,2
77,白蘋,78,43,1
78,世事,78,21,3
79,意气,78,40,2
80,潇湘,77,47,1
81,红尘,77,40,2
82,青苔,77,20,3
83,来往,76,22,3
84,水声,76,20,3
85,山僧,76,35,3
86,黄金,75,38,2
87,汉家,75,36,2
88,近来,74,20,3
89,封侯,74,36,2
90,古来,74,41,2
91,功名,74,45,2
92,男儿,73,50,2
93,东林,71,23,3
94,富贵,71,53,2
95,丈夫,70,44,2
96,他人,69,41,2
97,世上,68,38,2
98,山色,67,19,3
99,相访,67,28,3
100,钓鱼,67,21,3
101,路难,66,38,2
102,多病,66,22,3
103,行路,65,37,2
104,远山,65,20,3
105,干戈,65,36,2
106,石上,65,24,3
107,物外,63,25,3
108,英雄,61,39,2
109,将军,60,38,2
110,吟诗,59,24,3
111,烟霞,58,25,3
112,闲居,58,20,3
113,泉声,58,20,3
114,焚香,57,25,3
115,道士,56,21,3
116,感激,56,38,2
117,天台,52,29,3
118,山中,52,23,3
119,草堂,51,21,3
