社区ID,诗语,社区内度数,全局度数,全局综合排名,社区内重要性得分,社区内排名
0,春风,101,155,3.8,364.15789473684214,1
0,杨柳,97,141,2.8,454.14285714285717,2
0,东风,80,110,32.5,110.76923076923077,3
0,落花,76,122,11.2,165.28571428571428,4
0,春色,76,110,52.7,94.97533206831119,5
0,罗衣,76,120,59.3,92.86340640809443,6
0,红粉,72,106,103.8,81.63391136801542,7
0,美人,71,114,52.6,90.01140684410646,8
0,歌舞,70,115,12.6,149.36507936507937,9
0,莺啼,70,104,131.4,77.6103500761035,10
0,宫中,69,105,52.3,88.12045889101339,11
0,垂杨,68,112,38.1,94.24671916010499,12
0,肠断,66,113,21.7,112.08294930875576,13
0,鸳鸯,66,91,97.3,76.27749229188078,14
0,歌声,65,108,51.1,84.56947162426614,15
0,桃李,65,95,119.6,73.36120401337793,16
0,梨花,64,98,141.0,71.09219858156028,17
0,芙蓉,63,86,153.4,69.51890482398957,18
0,寒食,63,91,157.5,69.34920634920636,19
0,春来,63,89,168.6,68.93119810201661,20
0,花满,62,112,15.5,126.51612903225806,21
0,花落,62,103,50.2,81.9203187250996,22
0,君王,62,90,164.4,68.08272506082724,23
0,陌上,61,108,42.3,84.64066193853428,24
0,青楼,61,124,69.0,75.4927536231884,25
0,杏花,61,92,119.3,69.38222967309304,26
0,玉楼,61,96,125.9,68.94281175536139,27
0,断肠,59,108,23.7,101.19409282700423,28
0,多情,59,95,87.2,70.46788990825688,29
0,花间,59,95,94.2,69.61571125265392,30
0,不归,58,108,20.3,107.26108374384236,31
0,芳草,57,116,12.6,136.36507936507937,32
0,汉宫,57,104,60.6,73.5016501650165,33
0,看花,57,93,126.8,64.88643533123029,34
0,年年,56,103,27.6,92.23188405797102,35
0,公子,56,94,65.2,71.33742331288343,36
0,阑干,56,87,135.1,63.4019245003701,37
0,行乐,56,104,150.4,62.648936170212764,38
0,日暮,55,123,7.0,197.85714285714286,39
0,春光,55,81,221.8,59.50856627592425,40
