phrase,community
万户,0
千门,0
东西,1
南北,1
今年,0
去年,0
翡翠,0
鸳鸯,0
巫山,0
阳台,0
菊花,1
重阳,1
山色,3
水声,3
登高,1
八月,1
日夜,1
云雨,0
寒食,0
清明,0
人间,3
天上,0
暮雨,1
白玉,0
黄金,2
北阙,0
南宫,0
乾坤,2
日月,2
南山,0
桃源,3
武陵,1
黄花,1
无力,0
有情,0
巫峡,1
凤凰,0
鹦鹉,0
咸阳,2
渭水,2
从军,2
单于,2
君王,0
宫中,0
汉家,2
汉宫,0
洞庭,1
潇湘,1
今朝,0
昨日,2
九衢,2
双阙,0
桃花,0
御沟,0
柳色,0
湘水,1
长沙,1
王孙,0
芳草,0
歌舞,0
功名,2
富贵,2
梨花,0
星辰,2
楼前,0
陌上,0
关山,1
望乡,1
雨雪,2
曲江,0
杏花,0
花开,0
花落,0
汀洲,1
白蘋,1
使君,1
皎然,1
白日,2
青春,0
凉风,1
白露,1
春草,1
池塘,0
红粉,0
青苔,3
他乡,1
故国,1
山高,1
东流,2
昔时,2
黄叶,1
罗衣,0
美人,0
大道,2
青楼,0
双飞,0
先生,3
弟子,3
今日,2
昔年,3
别后,1
相思,1
江水,0
昆仑,2
瑶池,0
仙人,0
道士,3
落花,0
黄河,2
猿声,1
芙蓉,0
楼上,0
流水,3
叹息,2
颜色,2
今夜,1
行人,1
残月,3
马嘶,3
日晚,2
路傍,2
玉楼,0
春风,0
杨柳,0
将军,2
霓裳,0
同心,0
万里,1
猿啼,1
公子,0
青天,2
东山,3
苍生,2
谢公,1
行乐,0
碧云,1
满地,0
江山,1
风月,1
蛾眉,0
千秋,0
婵娟,0
相识,2
芳树,0
伤心,0
满眼,2
承恩,0
明年,0
当年,2
红尘,2
造化,2
才子,2
洛阳,2
万古,2
当时,2
意气,2
九重,0
中原,2
英雄,2
行路,2
行客,1
鹧鸪,0
佳人,0
苍苔,1
落叶,1
风雨,1
鬼神,3
世间,2
尘土,3
绿水,0
青山,1
云飞,0
紫微,0
东方,0
日出,0
叶落,1
梧桐,0
无情,0
草色,0
未央,0
少年,2
走马,2
万事,2
百年,2
今已,1
男儿,2
宛转,0
愁人,0
河汉,1
阑干,0
万国,2
太平,2
参差,0
次第,0
远近,1
前程,1
岐路,1
红叶,1
人生,2
须臾,2
细雨,0
壮士,2
马上,0
南国,1
秋月,1
城下,3
城中,3
苍梧,1
清净,3
莲花,3
新月,1
