phrase,degree,degree_centrality,betweenness,closeness,eigenvector,pagerank,frequency,probability,degree_centrality_rank,betweenness_rank,closeness_rank,eigenvector_rank,pagerank_rank,avg_rank
杨柳,141,0.21139430284857572,0.00388544466505486,1.7730456203255827,0.0875775302921239,0.0026717813935722974,551,0.00356,2.0,5.0,3.0,2.0,2.0,2.8
春风,155,0.23238380809595202,0.0032101066583825207,1.7884048410161721,0.09869390790915913,0.0029448315191627043,1155,0.007463,1.0,15.0,1.0,1.0,1.0,3.8
惆怅,132,0.19790104947526235,0.004164584374479427,1.7736461743461163,0.07161197572247399,0.002454671741785362,785,0.005072,3.0,4.0,2.0,7.0,5.0,4.2
万里,130,0.19490254872563717,0.003453228340784563,1.763009538798793,0.0705790388377037,0.0024779145942853483,1462,0.009446,4.0,7.0,4.0,9.0,4.0,5.6
日暮,123,0.18440779610194902,0.003754879317098208,1.758508740295955,0.07156480523026536,0.002303677983496952,509,0.003289,6.0,6.0,5.0,8.0,10.0,7.0
行人,120,0.17991004497751123,0.003160581871226549,1.7429101264290805,0.06924557826455226,0.0023053901056987176,519,0.003353,8.5,17.0,9.0,12.0,9.0,11.1
落花,122,0.1829085457271364,0.0027958993476234857,1.7424651047785935,0.07387217792149488,0.002354102576254103,464,0.002998,7.0,28.0,10.0,4.0,7.0,11.2
芳草,116,0.17391304347826086,0.003228115671893783,1.7461783662558858,0.06674715529306263,0.002233738857407838,483,0.003121,11.0,14.0,7.0,16.0,15.0,12.6
歌舞,115,0.17241379310344826,0.0031425728577152865,1.7319497874467868,0.0694473558031384,0.002320810986163141,272,0.001757,12.0,18.0,14.0,11.0,8.0,12.6
花满,112,0.1679160419790105,0.003363183273228251,1.737764853601101,0.06417686412379166,0.0021509871181958394,171,0.001105,16.5,9.0,12.0,21.0,19.0,15.5
长安,111,0.1664167916041979,0.004340172256214235,1.746990097795589,0.05892381500245573,0.0021307908736883556,1033,0.006674,18.5,3.0,6.0,32.0,21.0,16.1
不归,108,0.1619190404797601,0.004637320979150065,1.7440970903236086,0.058164229376174374,0.0020465622353303316,297,0.001919,23.5,1.0,8.0,37.0,32.0,20.3
肠断,113,0.16941529235382308,0.0024582303442873157,1.7308829203934117,0.06729114253480227,0.002180434129960831,208,0.001344,14.5,49.0,15.0,13.0,17.0,21.7
断肠,108,0.1619190404797601,0.002980491736113925,1.7283602034091836,0.06369479140868013,0.002074690648301974,206,0.001331,23.5,25.0,18.0,23.0,29.0,23.7
年年,103,0.15442278860569714,0.003250626938782861,1.733745108973782,0.05829162631114997,0.001955201922379889,597,0.003857,34.0,12.0,13.0,35.0,44.0,27.6
离别,117,0.17541229385307347,0.002064283173728451,1.7383737770292884,0.06586081125091223,0.002258741880373274,312,0.002016,10.0,98.5,11.0,18.0,11.0,29.7
蛾眉,111,0.1664167916041979,0.002449225837531685,1.7129713116649705,0.06243062192214107,0.00223923519573541,197,0.001273,18.5,51.0,43.0,24.0,14.0,30.1
东风,110,0.1649175412293853,0.002129565847706777,1.7299782061651081,0.06947117837075366,0.002113186582749507,446,0.002882,20.5,90.0,16.0,10.0,26.0,32.5
今日,101,0.15142428785607195,0.00454952703828266,1.7295324530026976,0.05122455590961117,0.001975769658355198,1168,0.007547,39.5,2.0,17.0,87.0,39.0,36.9
垂杨,112,0.1679160419790105,0.0019584802193497847,1.7245041084371286,0.06679953939964796,0.0022093644247039254,144,0.00093,16.5,122.0,21.0,15.0,16.0,38.1
别离,101,0.15142428785607195,0.0025842934388661527,1.7159485548024007,0.05638730507711169,0.001962575156309178,537,0.00347,39.5,36.5,32.0,44.0,42.0,38.8
春草,101,0.15142428785607195,0.0023344183763973868,1.7199343973184453,0.05677468849365391,0.001965975714800471,353,0.002281,39.5,64.0,25.0,42.0,41.0,42.3
陌上,108,0.1619190404797601,0.001989995992994494,1.716050063679222,0.06505813145814755,0.002128957593368273,153,0.000989,23.5,116.0,30.0,20.0,22.0,42.3
依旧,98,0.14692653673163417,0.0032326179252715986,1.7156303098693788,0.05271328555216579,0.0019008623803392058,172,0.001111,47.0,13.0,34.0,71.0,58.0,44.6
高楼,101,0.15142428785607195,0.0023051537294415856,1.720023058417664,0.0543523858776686,0.0019697655919010534,274,0.00177,39.5,69.0,24.0,57.0,40.0,45.9
故乡,103,0.15442278860569714,0.002390696543620082,1.7190962190035386,0.0524328268608719,0.002019614890975115,349,0.002255,34.0,59.0,28.0,75.0,34.0,46.0
江上,99,0.14842578710644677,0.002667585126355741,1.7197387720414916,0.052551571459809245,0.0019026937992017057,708,0.004574,44.0,32.0,26.0,73.0,57.0,46.4
江城,99,0.14842578710644677,0.003040521781151466,1.7165733473570426,0.049326587002877204,0.0019390070895672921,175,0.001131,44.0,20.0,29.0,100.0,46.0,47.8
花落,103,0.15442278860569714,0.0019809914862388626,1.7152962761823067,0.062234802517207664,0.001989500244804799,456,0.002946,34.0,117.0,38.0,26.0,36.0,50.2
歌声,108,0.1619190404797601,0.0018954486720603662,1.7105864657219116,0.06171956441207561,0.0021209044577479856,155,0.001001,23.5,129.0,51.0,28.0,24.0,51.1
宫中,105,0.15742128935532235,0.002064283173728451,1.6981255499527257,0.06407981968716116,0.002152380231070051,164,0.00106,27.0,98.5,96.0,22.0,18.0,52.3
美人,114,0.17091454272863568,0.0015802909356132744,1.7210952192265936,0.07172945570811616,0.0022560648581183926,424,0.002739,13.0,209.0,23.0,6.0,12.0,52.6
春色,110,0.1649175412293853,0.0016928472700586644,1.7192195126950391,0.06656016209992768,0.0021204829990461613,356,0.0023,20.5,174.0,27.0,17.0,25.0,52.7
落日,99,0.14842578710644677,0.0024537280909095005,1.7156299480137376,0.05102633769870281,0.0019468669766495477,505,0.003263,44.0,50.0,35.0,90.0,45.0,52.8
