node,pos_weight,neg_weight,type,tension
晏,0.0,0.0047,negative_only,0.0
衢,0.0168,0.0,positive_only,0.0
旆,0.0116,0.0,positive_only,0.0
功,6.0306999999999995,0.0,positive_only,0.0
臾,0.003,0.0,positive_only,0.0
痕,0.0,1.5265,negative_only,0.0
飖,0.0059,0.0,positive_only,0.0
湘,0.0,0.0234,negative_only,0.0
穷,0.0072,0.0,positive_only,0.0
数,0.0,0.0242,negative_only,0.0
连,0.0,0.018099999999999998,negative_only,0.0
思,0.0045,0.1043,cross,0.04314477468839884
军,0.0076,0.0,positive_only,0.0
雪,1.5241,0.0377,cross,0.024735909717210156
木,0.0,1.5534000000000001,negative_only,0.0
丞,0.015,0.0,positive_only,0.0
战,0.0,0.038099999999999995,negative_only,0.0
飞,8.9664,0.0,positive_only,0.0
户,0.0149,0.0,positive_only,0.0
情,0.0017,1.5175999999999998,cross,0.0011201897733263049
猛,0.0,0.0113,negative_only,0.0
叠,0.0,0.0031,negative_only,0.0
汉,0.018600000000000002,0.0094,cross,0.5053763440860215
访,0.0,0.0021,negative_only,0.0
霄,0.0381,0.0,positive_only,0.0
峡,0.0,0.0116,negative_only,0.0
辉,0.0247,0.0,positive_only,0.0
斗,0.0,0.002,negative_only,0.0
南,0.0556,0.035,cross,0.6294964028776979
殿,0.029400000000000003,0.0,positive_only,0.0
条,0.0009,0.0,positive_only,0.0
门,0.0494,0.0388,cross,0.785425101214575
相,3.043,0.079,cross,0.02596122247781794
子,0.0414,0.0693,cross,0.5974025974025974
泉,0.0078,1.5141,cross,0.00515157519318407
骚,0.0065,0.0,positive_only,0.0
机,0.0,0.0009,negative_only,0.0
忽,0.0102,0.0,positive_only,0.0
盘,1.5055,0.0,positive_only,0.0
官,0.0365,0.0,positive_only,0.0
两,0.0,0.0059,negative_only,0.0
汀,0.0,0.0161,negative_only,0.0
物,1.541,0.0,positive_only,0.0
重,0.0328,0.012199999999999999,cross,0.37195121951219506
老,0.0102,0.0358,cross,0.28491620111731847
期,1.5046,0.0067,cross,0.0044530107669812575
悲,0.0,1.5022,negative_only,0.0
他,0.0,0.0247,negative_only,0.0
交,0.0031,0.0,positive_only,0.0
繁,1.5109,0.0,positive_only,0.0
遇,1.497,0.0,positive_only,0.0
士,1.5168,0.0135,cross,0.008900316455696203
草,2.987,0.09960000000000001,cross,0.03334449280214262
滨,0.0072,0.0,positive_only,0.0
起,0.0,0.0086,negative_only,0.0
淮,0.0059,0.0,positive_only,0.0
微,0.0437,0.0258,cross,0.5903890160183066
苦,0.0,4.5324,negative_only,0.0
鬓,0.0,0.0101,negative_only,0.0
八,0.0,0.024,negative_only,0.0
九,1.6142999999999998,0.0122,cross,0.007557455243758906
间,0.0108,0.0173,cross,0.6242774566473989
单,0.0,0.0103,negative_only,0.0
今,0.0,0.0194,negative_only,0.0
芜,0.0,0.0136,negative_only,0.0
商,0.0,0.0013,negative_only,0.0
望,0.006,1.5692,cross,0.0038236043843996943
游,0.0025,0.034100000000000005,cross,0.07331378299120234
月,6.0069,1.6478,cross,0.27431786778538014
浮,0.0042,0.019799999999999998,cross,0.21212121212121213
阶,1.5070000000000001,0.0,positive_only,0.0
牛,0.0,0.0173,negative_only,0.0
阙,0.059899999999999995,0.0062,cross,0.10350584307178631
鸾,0.0245,0.0,positive_only,0.0
渡,0.0,0.009,negative_only,0.0
见,0.0039,0.0,positive_only,0.0
夜,0.0018,0.1738,cross,0.010356731875719217
病,0.0,0.0248,negative_only,0.0
伤,0.0,1.5062,negative_only,0.0
陌,0.0345,0.0,positive_only,0.0
文,0.0056,0.0,positive_only,0.0
浪,0.0,0.0017,negative_only,0.0
走,0.018,0.0,positive_only,0.0
龙,4.5153,0.0,positive_only,0.0
顾,0.0071,0.0,positive_only,0.0
赤,0.0,0.0006,negative_only,0.0
闭,0.0,0.0102,negative_only,0.0
道,0.016399999999999998,0.0341,cross,0.48093841642228735
忧,0.0,1.5061,negative_only,0.0
父,0.0,0.0067,negative_only,0.0
旌,0.0281,0.0,positive_only,0.0
桃,0.0097,0.0028,cross,0.28865979381443296
亲,0.012,0.0,positive_only,0.0
景,0.0048,0.0057,cross,0.8421052631578946
规,0.0,0.0231,negative_only,0.0
台,0.0174,0.0166,cross,0.9540229885057472
石,0.0028,0.0192,cross,0.14583333333333334
垂,0.011300000000000001,1.4909,cross,0.007579314508015294
侯,0.0152,0.0079,cross,0.5197368421052632
登,0.0058,0.0071,cross,0.8169014084507041
冰,0.0,0.0005,negative_only,0.0
清,1.5642,1.5357,cross,0.9817798235519755
低,0.0078,0.0,positive_only,0.0
化,0.0159,0.0,positive_only,0.0
在,0.0,0.0095,negative_only,0.0
男,0.0071,0.0,positive_only,0.0
城,1.5776999999999999,1.5789000000000002,cross,0.9992399771993158
易,0.0,0.0099,negative_only,0.0
裳,0.0,0.023899999999999998,negative_only,0.0
临,0.0,0.0134,negative_only,0.0
兄,0.0,0.0129,negative_only,0.0
山,0.0372,1.6663000000000001,cross,0.022324911480525712
银,0.0,0.0027,negative_only,0.0
粉,0.0028,0.0,positive_only,0.0
马,0.07089999999999999,0.0359,cross,0.5063469675599437
寥,0.0066,0.0,positive_only,0.0
朱,0.0209,0.0187,cross,0.8947368421052633
从,0.0056,0.0112,cross,0.5
万,0.1521,0.0713,cross,0.4687705456936226
稽,0.016,0.0,positive_only,0.0
澜,0.0,0.0085,negative_only,0.0
千,0.1289,0.0349,cross,0.2707525213343678
锦,0.0017,0.0,positive_only,0.0
尝,0.0009,0.0,positive_only,0.0
精,0.0048,0.0,positive_only,0.0
杳,0.0,1.4964,negative_only,0.0
看,0.0021,0.0254,cross,0.0826771653543307
积,0.0,0.0041,negative_only,0.0
经,0.0,0.019,negative_only,0.0
东,0.0329,0.0346,cross,0.9508670520231214
瀛,0.019,0.0,positive_only,0.0
宝,0.0,0.0004,negative_only,0.0
壁,0.0,0.0062,negative_only,0.0
绣,0.0064,0.0,positive_only,0.0
玉,19.5616,0.0,positive_only,0.0
光,0.0753,1.4832999999999998,cross,0.050765185734510894
十,0.0169,0.0192,cross,0.8802083333333334
恩,0.0373,0.0,positive_only,0.0
洁,0.0,0.0015,negative_only,0.0
遥,0.0025,0.0094,cross,0.26595744680851063
半,0.0,0.0295,negative_only,0.0
帝,0.0181,0.0022,cross,0.12154696132596685
衣,1.5341,0.025599999999999998,cross,0.016687308519653214
归,0.0024,1.6748,cross,0.0014330069262001432
忆,0.0,0.024300000000000002,negative_only,0.0
旗,0.0077,0.0,positive_only,0.0
翼,0.0001,0.0,positive_only,0.0
蛾,0.0,0.0047,negative_only,0.0
钟,0.0,0.0093,negative_only,0.0
落,0.0,18.0102,negative_only,0.0
暖,1.5037,0.0,positive_only,0.0
恨,0.0,3.0,negative_only,0.0
